<br><font color=yellow>*Lera(Bailey42) sat alone on a tree branch, samehada resting lazily across her legs. She had a good vantage point from up here, she could keep her eye on the skies and the ground; just in case something decided she looked a little tasty. Every now and then she'd glance down at Samehada fondly. Even though it was fully co-operative with her, she couldn't help but like it. It was surprisingly affectionate, at least as long as you continued to provide it with chakra anyway; which she did in bucket loads.

Ever so gently, she rubbed her hand down the blades edge; being careful not to catch her hands on the sharp scales. It still continued to suck away at her chakra, if it weren't for her exceptionally large pools; she would have run dry a long time ago. It was a wonder it was still going, it did stop every now and then; but surely there would come a point where it was well and truly full. Either way, until she truly mastered the weapon; using it in a real life and death battle would be risky.

With a sigh, she gripped Samehada's hilt and dropped from the tree; landing gracefully on the forest floor. The area was mostly clear, besides a few forest critters but they generally just left her alone. She wagered she'd traveled a good majority of the forest now, but had yet to come across a beast on the same level as the one Marissa had been fighting. She was starting to get the feeling that she'd gotten everything possible out of surviving here, it was more or less time to leave.

All she had to do was make her way to Fujitora's base and wait for him, though that was easier said than done. She reckoned she'd come pretty close to the base a number of times, but had always turned herself away so as to extend her stay for as long as possible. Despite that, things were starting to get very samey, she'd defeated most creatures with relative ease, a few had given her a little trouble; but she'd yet to sustain even a scratch. So with a yawn, she trailled off into the forest, towards Fujitora's base.
* - Sun Nov  1 14:47:02 2015
<br><br><font color=yellow>*Lera(Bailey42) saw the death hugs going on and decided to join in.* - Tue Nov  3 04:43:44 2015
<br><br><font color=yellow>*Lera(Bailey42) finds a sizeable pineapple and eyes up Ortho's asshole.* - Tue Nov  3 04:45:26 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: So nobody wants to buy this? - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Should I help? Nahhh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What are you selling again? - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: A pill. - Tue Nov  3 04:48:00 2015
<br><br><font color=yellow>*Lera(Bailey42) lets go of Nina and looks at Violet "Well, all that aside. I have something for you, can I speak to you privately for a few moments?"* - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of? - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sure.... - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: 'Dunno. Guy just told me it was for 'male enhancement.' Whatever that means. - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh, sounds. . .weird. - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Tue Nov  3 04:49:42 2015
<br><br><font color=yellow>*Lera(Bailey42) pulled the Kiba blades out of some unknown cravess (seriously, where do I keep this shit) and handed them to Violet.

"Here you go."* - Tue Nov  3 04:49:42 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How come I can't get a special sword? - Tue Nov  3 04:53:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: These ones belong to Violet Hun. If there comes a time where we can give you one to train with...we'll see, but its not entirely up to me. - Tue Nov  3 04:54:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I want one! It'll run in the family! - Tue Nov  3 04:54:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: All I can say is wait and see hun... - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: FINE. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine**** - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: These swords are special can have to be a secret dont tell anyone about them ok? - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: What...the heck happened... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: I go away for just a little while...and all hell breaks loose. - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Thats what I said... - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Kirie better not have been inside when whatever happened happened.... - Tue Nov  3 13:54:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Tue Nov  3 13:55:50 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I am NOT ready to be Mizukage yet... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Screw that... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: If we don't find her in the scraps, and she doesn't show up soon. Then, there no reason to assume shes still alive. - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I need to retrieve the blades then... - Tue Nov  3 13:59:15 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wanted to say I'm happy you're back lera... and thank god how you saved me... but then this shit happens. - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Saved you? - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: When did I save you? - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I think I do. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: No...no you don't. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I really do. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Anyways... Lera, if you decide to leave the village again. I have one request... take Violet with you. - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: If I leave then I will - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I won't leave her behind... - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sadly...I intended to take over for Kirie when she eventually stepped down...I wasn't expecting this.. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You're actually going to take that suicidal seat. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: God shes not ready for this... and thank god shes not going to leave Violet. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not ready, not even in the slightest. - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You aren't. - Tue Nov  3 14:06:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hah...thanks for the vote in confidence. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps...Kirigakure would be better off if we moved the villagers..for the time being. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You welcome, I always be here to give the truth. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sad to say, we don't have the forces to protect it. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, I mean... to be fair. I don't think theres much you can do to protect from a giant snake. - Tue Nov  3 14:10:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: A giant snake huh... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wondered how the other villages will take it. When they here that Kirigakure got messed up again.  - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Most likely...they won't do much... - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: I may go see my father, see what help he can offer...but he has his hands full with Sunagakure. - Tue Nov  3 14:18:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Wait... your father is in Sunagakure? - Tue Nov  3 14:18:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: My father is the kazekage. - Tue Nov  3 14:20:35 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, that was a shocker. - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: You didn't know that? - Tue Nov  3 14:24:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: First no... and two what does your father look like? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Muhammed, Hassan - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: You don't know him? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh I know him... He was the guy that kicked me out of the village.... also, hes ancient. When did he have you? - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's not my biological father. Adoptive - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh... oh okay that makes a lot more sense now. - Tue Nov  3 14:28:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm... - Tue Nov  3 14:29:07 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm... well I know and was taught a little by the adoptive daughter of the Kazekage... and I was also kicked out by the Kazekage. Meh, my life feels a bit more notable now. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...I taught you? I don't remembe. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah, you taught me some jutsus when we first met. - Tue Nov  3 14:33:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see... - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: It was while you were dating... Oh.. forgot don't mention him. - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* I'm not that sensitive. - Tue Nov  3 14:35:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, anyways.... yeah. Well, I mean do you really want to stay in Kirigakure when you could be with Hassan. - Tue Nov  3 14:37:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirigakure is my home - Tue Nov  3 14:38:30 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Well its your choice.  - Tue Nov  3 14:53:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah - Tue Nov  3 14:54:43 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Well doesn't this place seem utterly destroyed. - Tue Nov  3 15:39:56 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep... its not utterly destroyed - Tue Nov  3 15:43:21 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What happened? - Tue Nov  3 15:44:12 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: ...? - Tue Nov  3 15:48:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Giant snake came through... mizukage mansion blew u. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Stress. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Where's Kirie? - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dead apparently... - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: She died? - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: That's an impact on Kirigakure. - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I know... - Tue Nov  3 15:53:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's gonna take over for her? - Tue Nov  3 15:58:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody who is smart. - Tue Nov  3 16:00:25 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: It's nnot my time yet, they're not ready for me. I'll let them have a few years. - Tue Nov  3 16:01:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Never let red hed over there and white haired boy become Mizukage. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I has to me my love Lera.. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But... maybe we should give in to Hassan... he can helpwith the rebuilding of Kirigakure and be under his protection if w care about kirigakure that much - Tue Nov  3 16:09:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Give in to Hassan? - Tue Nov  3 16:20:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its a suggestion - Tue Nov  3 16:22:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I just haven't heard about that. - Tue Nov  3 16:26:01 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: I'm better of moving to Sunagakure. - Tue Nov  3 16:27:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Tch . . Sanoke told me to send a report, might as well do that now. - Tue Nov  3 16:28:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Wait.... there was no body at the mansion building... - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Then where is it? - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 16:42:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Miss are you knew? - Tue Nov  3 16:43:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: new* - Tue Nov  3 16:43:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Momura.. - Tue Nov  3 16:45:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Momura, are you aware of our situation? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Situation..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What do you m-mean..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: We are a damaged village with no leader - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..? - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But Mizukage-Senpai. - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: She's the l-leader. - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is believed to be dead - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-S-She is..? - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But the correct term would be missing in action - Tue Nov  3 16:49:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What happened..? - Tue Nov  3 16:50:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Last night while the kage was asleep apparaently her mansion exploded - Tue Nov  3 16:52:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What.. - Tue Nov  3 16:55:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: E-E-E-Exploded...? - Tue Nov  3 16:55:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Why..? - Tue Nov  3 16:55:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dont know - Tue Nov  3 16:55:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Haven't you guys looked a-at her? - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Love - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I know... - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm not sure what to do... - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is no where to be found - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: So she -disappeared-? - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Me neither... Nina just ran off...  - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: She ran off...? - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ugh... - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: And she took some guy with her... but she can handle herself I know that much - Tue Nov  3 16:59:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Haven't there been s-search parties..? - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Orr...anything..? - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: But about Kiries sword... it is with her body I presume... - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Yes...I intend to retrieve it. - Tue Nov  3 17:01:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (i need to find out from the admins if they survive, she had Hira + nuibari and Kabu sealed on her body) - Tue Nov  3 17:01:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I will assist you - Tue Nov  3 17:01:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Uptown is up rn - Tue Nov  3 17:02:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: () - Tue Nov  3 17:02:43 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (Yeah, I AH'd) - Tue Nov  3 17:03:34 2015
<br><br><font color=yellow>*Lera(Bailey42) put an arm around the girl, appearing to be lost in thought.* - Tue Nov  3 17:07:50 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I always intended to take the reigns one day...but not like this. Part of me says we should leave...lay low for a while. - Tue Nov  3 17:07:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I dont want to leave Kirie ... I want it to rebuild... but I want to be with you more... My feelings for you conflict with my feelings for the village - Tue Nov  3 17:09:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I feel the same way....its just...I'm not ready yet...we're not ready yet. - Tue Nov  3 17:11:15 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I need to speak to him really...maybe he will help - Tue Nov  3 17:19:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Maybe after his demands are met - Tue Nov  3 17:21:29 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (I think I might go for dust and drop Samehada for now. I need strength fast) - Tue Nov  3 17:22:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Demands? - Tue Nov  3 17:22:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: He same here with strict demands for his economic plan but Kirie refused - Tue Nov  3 17:23:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well....I'll ask him back then - Tue Nov  3 17:24:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Ok - Tue Nov  3 17:24:03 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I need a bird...have one? - Tue Nov  3 17:25:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (pass me samehada - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (i have no chakra but do it - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Yea - Tue Nov  3 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Meet? Tch . . The nerve . . - Tue Nov  3 17:31:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov  3 17:38:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So..uhm.. - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What now..? - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Should we go f-find kirie..or s-something..S-She might b-be alive.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: If she was inside the mansion...then she should've shown herself by now.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Theres a high chance that she is indeed gone... - Tue Nov  3 17:49:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hnng.. - Tue Nov  3 17:50:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We'll have to move on. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What're we gonna do about a leader? If anyone found out that our Mizukage is dead, and if we have enemies, they'll surely strike. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not yet sure... - Tue Nov  3 17:52:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well..W-Who's the highest rank..A-At the moment..B-Besides M-Mizukage-Senpai...? - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Rank doesn't matter. - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That's not the only factor. - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ikaro might be the best choice for strength...when he's here anyway... - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera is the next strongest if not the strongest here  - Tue Nov  3 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know about that... - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's Nina by the way? - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: My child - Tue Nov  3 17:56:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Okay, then. - Tue Nov  3 17:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm... - Tue Nov  3 18:00:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps we should train... - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Training? - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: It might not be the time...but I feel like I can't stop. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..C-Could I join you two for training..? - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That'd be good. I need to learn how to expell genjutsu. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Three..I mean.. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. I can teach you Kai - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: In fact I can teach you a great deal of jutsu, dependant on your elements - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should all strive to get stronger... - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you Violet. I'm going to teach you how to fly. I have a feeling you'll need it - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't know my elements, but I do have a special Kekkei Genkai. - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which is? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Flying? Do you think im ready? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. it'll be difficult, but I believe you can learn it - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He's a b-bone man. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bones? Like baen? - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thanks... I will try - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How about we go to the a-academy basement..? - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I uhm..M-Mizukage-Senpai taught me a t-technique..B-But I'm really n-new to it. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should head somewhere more...outside. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's do it. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: There's that waterfall.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes. That'll do just fine. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. So what are your elements? - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I d-don't know. - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Tue Nov  3 18:17:48 2015
<br><br><font color=yellow>*Lera(Bailey42) passes them both Chakra paper.* - Tue Nov  3 18:18:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I suppose we'll start with Kai. - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ... - Tue Nov  3 18:21:13 2015
<br><br><font color=yellow>*Lera(Bailey42) showed them the handseal for Kai, as well as giving them a short explenation of how it worked.

"The basis is simple. You merely halt the flow of your chakra momentarily before starting it again. The halted flow breaks genjutsu cast on you, if you're good enough to break it that is."

She then formed a few more handseals and directed a genjutsu towards the both of them. A multitude of clones rose up around the pair, merely circling them.

"Break this genjutsu."* - Tue Nov  3 18:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm...I can't go much further without knowing your elements... - Tue Nov  3 18:29:45 2015
