<br><font color=teal>*Lera(Bailey42) says: I love you too...always. - Sat Oct  3 12:53:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm gonna guess you're a medic right? @zenaki. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you're...what do you do? - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Does it look like it? Then yes. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm just guessing. Since you wanted blood. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Sat Oct  3 18:08:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Make sure you don't over exhaust yourself. - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm.. - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will do. - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I should practice too... - Sat Oct  3 18:12:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Be carefull with the practice then. - Sat Oct  3 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: mhm, its nothing strenuous. Just practicing a jutsu. - Sat Oct  3 18:13:58 2015
<br><br><font color=yellow>*Lera(Bailey42) stood up...without touching the floor, she stayed floating a full inch of the ground yet acting perfectly casual about it.

"Nothing strenuous at all...."* - Sat Oct  3 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: This much is my limit huh...need to practice more.. - Sat Oct  3 18:16:32 2015
<br><br><font color=yellow>*Lera(Bailey42) gave the woman a little nod and stepped back onto the ground, raising her hand in a goodbye.

"Thanks for the pizza~ We should do this again some time."* - Sat Oct  3 18:16:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Are you willing to teach them? - Sat Oct  3 18:17:23 2015
<br><br><font color=teal>*Durn(Vysasi) says: -All- of them? - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Where did Seisuke get to...? - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Whatever you're willing to teach me. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright . . . Let's see then. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Follow me. - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: I didn't see where Seisuke went. - Sat Oct  3 18:18:14 2015
<br><br><font color=yellow>*Lera(Bailey42) follows because why not and its lonely here.* - Sat Oct  3 18:18:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Here's good. - Sat Oct  3 18:19:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's see what you can do, Kang. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Gotta test out your ninjutsu prowess. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Use one of your destructive jutsu. - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: What's your name, Girl? - Sat Oct  3 18:20:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: Nice to meet yu, Lera. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'm Durn. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, nice to meet you too. - Sat Oct  3 18:22:30 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I wonder what my most destructive combo is... - Sat Oct  3 18:24:12 2015
<br><br><font color=teal>*Durn(Vysasi) says: So, Where are you from? - Sat Oct  3 18:24:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirigakure. Same as him - Sat Oct  3 18:25:55 2015
<br><br><font color=teal>*Durn(Vysasi) says: I see. - Sat Oct  3 18:25:55 2015
<br><br><font color=teal>*Durn(Vysasi) says: Well . . . I'm from Konohagakure . . . Then lived in Kumogakure . . . Returned to Konohagakure . . . Went to Amegakure . . . Now here. - Sat Oct  3 18:26:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: So . . . What do you specialize in? - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm an elementalist. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah . . . Same as me. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Ditto. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cool~ - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Durn(Vysasi) says: I guess everyone here is an elementalist. - Sat Oct  3 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which element do you specialise in? - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm . . . My best are Water, Lightning and Storm. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Though I also have Fire and Earth. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Storm? - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: My Kekkei genkai. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Interesting...we're all in the same boat~ - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: What elements do you have - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm best with Wind and Earth. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: But I use Fire and Raiton too. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah . . . Wind. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: I wish I had that. - Sat Oct  3 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I wish I had water. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: I have water. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I have Wind... - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ironic right? - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: I look forward to working with you. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: On the same page again. - Sat Oct  3 18:29:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm . . . Not bad. - Sat Oct  3 18:32:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Sat Oct  3 18:37:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, I only really know four techniques. - Sat Oct  3 18:37:00 2015
<br><br><font color=teal>*Durn(Vysasi) says: And they are? - Sat Oct  3 18:37:00 2015
<br><br><font color=teal>*Durn(Vysasi) says: What element do you want to start off on learning today? - Sat Oct  3 18:39:34 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Any is fine with me. - Sat Oct  3 18:39:34 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Keep in mind. - Sat Oct  3 18:40:25 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I can only use Wind, Earth, and Fire. . . - Sat Oct  3 18:40:25 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's start off with . . . Exploding Flame shot? - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: It doesn't use hand-seals. - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Good jutsu... - Sat Oct  3 18:42:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: You heat up your chakra in your stomach . . . Transfer the heated chakra to your hands . . . They spark and then you can throw the fireballs. - Sat Oct  3 18:42:59 2015
<br><br><font color=yellow>*Lera(Bailey42) took a seat on thin air and looked as if she were meditating, though she continued to keep an eye on the two with their practice while training her own techniques.* - Sat Oct  3 18:42:59 2015
<br><br><font color=teal>*Durn(Vysasi) says: Try doing that. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh? - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I mean. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Can you at least show it to me? - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 18:43:50 2015
<br><br><font color=teal>*Durn(Vysasi) says: As for you, Lera, Are you also interested in trading jutsu and learning? - Sat Oct  3 18:46:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm... - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: That depends on what you can show me. - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: I know genjutsu and elemental jutsu . . . What are you interested in more? - Sat Oct  3 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Preferably elemental ninjutsu - Sat Oct  3 18:51:31 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 18:51:31 2015
<br><br><font color=teal>*Durn(Vysasi) says: Let's see . . . Misty flames? - Sat Oct  3 18:52:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Misty what now? - Sat Oct  3 18:53:13 2015
<br><br><font color=teal>*Durn(Vysasi) says: Misty Flames Dance Jutsu. - Sat Oct  3 18:54:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...haven't heard of that one. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Care to give me a demonstration? - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Durn(Vysasi) says: C rank. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Durn(Vysasi) says: Sure. - Sat Oct  3 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm - Sat Oct  3 19:05:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay. - Sat Oct  3 19:07:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll trade you for... - Sat Oct  3 19:07:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: This... - Sat Oct  3 19:07:44 2015
<br><br><font color=yellow>*Lera(Bailey42) put her feet back on the ground and formed her hands into the tiger seal; pulling in a big breath of air. The jutsu seemed to be following the same steps as Fireball, albeit without the five handseals. Through her fingers, she blew a stream of highly condensed flame; having it strike the wall and leaving considerable damage.* - Sat Oct  3 19:10:17 2015
<br><br><font color=yellow>*Lera(Bailey42) pulled back her head and spat a steady stream of mud onto the ground. Once it was there, she formed three handseals and directed her chakra towards the mud. Out of it formed the large head of a dragon, opening its great maw and forming a bright light within it. At her command, several balls of steaming hardened mud flew from it and smashed into the wall; causing great chunks of rock to fall to the ground.* - Sat Oct  3 19:13:42 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm. - Sat Oct  3 19:13:42 2015
<br><br><font color=teal>*Durn(Vysasi) says: I'll give you two for that one. - Sat Oct  3 19:13:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sounds fair. - Sat Oct  3 19:14:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Sat Oct  3 19:14:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello... - Sat Oct  3 19:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Would you like to answer a few questions for me? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: Sure? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know a gentlemen by the name of Kilm? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: . . . - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Durn(Vysasi) says: Why do you ask? - Sat Oct  3 19:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I had something to ask him, it was private, he must know. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) says: I might relay it to him . . . If i see him. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's for his ears only. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: God fucking damn it. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: Weird. - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: I am Kilm yet It's for -my- ears only . . . Should I drop the facial features? - Sat Oct  3 19:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...? - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: I'm dropping the henge for this? - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Eh...whatever, not my business. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Too obvious. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . . - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: He hung out with Ko too much. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Durn(Vysasi) says: If you need further proof. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ride or die. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Oct  3 19:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . . . . . . . . . . . . . . . - Sat Oct  3 19:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Ride or die... - Sat Oct  3 19:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: Eh... - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not bad - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm gonna head back. - Sat Oct  3 19:35:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey do any of you happen to able to use Earth or lightning justu? - Sun Oct  4 05:22:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhmmmm. - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Why? - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hello, young lady, are you interesting in accerpting God as your lord and savior? - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh? - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: No thanks - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see, I guess noone in interested in christianity... oh well If you need healing im your man! - Sun Oct  4 05:25:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm...thanks? - Sun Oct  4 05:25:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Welcome - Sun Oct  4 05:26:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh .. the reason im asking is becaus i need someone to teach me.' - Sun Oct  4 05:28:06 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I'm guessing my current teacher is out on a mission some where or something. - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm.... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: I mean... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't mind... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which one did you want...? - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh wow im lucky which style do you know? - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wish Lera was here... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wish Setsuna was here... - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Both *yawn* - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Though...I'm better with Doton. - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright... - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Follow me I guess? - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay. You just want to learn some jutsu right? - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yes i do. - Sun Oct  4 05:34:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. What do you know already? - Sun Oct  4 05:34:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummmm...Raiton flash and Mud flow. - Sun Oct  4 05:34:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm...not a whole lot then - Sun Oct  4 05:35:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay. - Sun Oct  4 05:35:47 2015
<br><br><font color=yellow>*Lera(Bailey42) suddenly sank into the ground, right in front of Trilliams eyes. She 'swam' towards him, before popping up directly infront of him.

"This ones called Hiding like a mole. You soften the earth around your feet and let yourself sink. Then you can sort've swim through it and pop up wherever you want. While you're under there, you can feel whatever happens around you and above ground. So you're not blind. Give it a go."* - Sun Oct  4 05:37:29 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I guess I'll practice while he's learning... - Sun Oct  4 05:41:45 2015
<br><br><font color=yellow>*Lera(Bailey42) went to the nearest largest rock she could see, and put her hands around it. She showed no signs of struggling as she casually lifted up the rock, three times her size, and placed it on her shoulder. From there, she lifted it up even further and balanced it on one palm. Anyone with no knowledge with what she was doing, would think she had some super human strength or something.

"You need to keep the earth around you softened at all time, it'll revert back in an instant if you don't keep it up."* - Sun Oct  4 05:44:19 2015
<br><br><font color=yellow>*Lera(Bailey42) turned her eyes to Trilliam and nodded, before tossing her boulder off. It almost seemed to float before dropping to the ground with a sudden crash.

"Alright. A raiton one next then I guess."

Clapping her hands together, she gathered chakra into them and drew them apart. Sparks would fly between her skin before coming together to form a blue ball of Raiton. This she threw at a nearby wall, causing it to spread through the rock and leave cracks therein.* - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pretty good... - Sun Oct  4 06:30:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay...one more for today. - Sun Oct  4 06:30:24 2015
<br><br><font color=yellow>*Lera(Bailey42) formed a single handseal and directed her chakra towards the ground. Slowly, a perfect clone of herself would rise from the ground; sucking up whatever moisture it found to turn itself into mud.

"This here is a mud clone. Use your mud flow first to make it easier on yourself. Treat it like an ordinary bunshin, but add your Doton chakra into the mix."* - Sun Oct  4 06:32:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. Not bad. That'll do for today. - Sun Oct  4 06:53:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Get better at hiding like a mole - Sun Oct  4 06:53:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I'll show you how to drag people under. - Sun Oct  4 06:54:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, You're welcome - Sun Oct  4 06:56:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hey can I get some food or something... - Sun Oct  4 07:02:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Okay. . What the fuck. - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even Lera? - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why did you leave Kirigakure? - Sun Oct  4 07:07:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: I came here with Seisuke. - Sun Oct  4 07:18:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: And besides, My sensei is here. Of course I would follow. - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Lord. Is anyone in Kiri? - Sun Oct  4 07:19:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Honestly....no - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: It was empty when I was there. - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Yo. - Sun Oct  4 07:19:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: hello Yan - Sun Oct  4 07:20:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's quiet. - Sun Oct  4 07:24:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yup. - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Everyone is dozing off - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Why. - Sun Oct  4 07:25:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow, really? - Sun Oct  4 07:25:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I still blame Koeki. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So, Lera. You should help ya boy with some genjutsu. - Sun Oct  4 07:26:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I really hope someone frees me... I want to at least train while im here... - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Wait so are we like taking eveyone who leaves Kiri wont that cause a problem or something. - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Eh? - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: I only know two genjutsu - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's cool. I don't know any. - Sun Oct  4 07:27:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uhh...okay. sure I guess. - Sun Oct  4 07:30:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: And uh Yan. If you're willing to trade, I probably have some jutsu you want. - Sun Oct  4 07:30:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: These damn guards need to tell some one... i wanna talk to Sanoke... - Sun Oct  4 07:31:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Genjustu? - Sun Oct  4 07:31:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah, Genjutsu. - Sun Oct  4 07:32:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We'll see. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let's roll-- Wanna race to the training area? - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll carry this girl, and have the shell on too. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: You know I'm not very fast. - Sun Oct  4 07:33:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well... - Sun Oct  4 07:33:32 2015
<br><br><font color=yellow>*Lera(Bailey42) began lightnening her body, until she was almost floating off the ground.

"We can try I guess."* - Sun Oct  4 07:34:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Now what to do with this money Kenshin gave me.. - Sun Oct  4 07:36:57 2015
<br><br><font color=yellow>*Lera(Bailey42) barely touched the ground with each step she took, she was closer to flying than to running. Even so, Sanoke was still faster than she was; her speed having never been a strong point.

"Mhm...still faster.."* - Sun Oct  4 07:40:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well... - Sun Oct  4 07:42:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: My genjutsu isn't that great, but I can teach you the two jutsu I know. - Sun Oct  4 07:42:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Starting with... - Sun Oct  4 07:43:47 2015
<br><br><font color=yellow>*Lera(Bailey42) formed a few handseals and looked Sanoke dead in the eyes. Appearing around him would be clones, entire groups of them. Though they made no move to attack him, they looked tensed and ready to go.

"This is the mist servant technique. As long as someone is under this genjutsu, the clones will attack them again and again. Every time one is destroyed, it splits to create two more. Remember though, the clones can't actually hurt anyone; so its more useful as a distraction. Or for tiring your opponent out."* - Sun Oct  4 07:45:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its not that difficult. - Sun Oct  4 07:55:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its almost exactly like the basic Bunshin technique. - Sun Oct  4 07:55:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . I'll try. - Sun Oct  4 07:56:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: I learned it from a scroll. - Sun Oct  4 08:32:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have another one...but...its not something I like to teach...or even use - Sun Oct  4 08:32:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You mean the fear illusion? - Sun Oct  4 08:34:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Funny how you guessed it in one - Sun Oct  4 08:34:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You tried to use it on me. Failed hard. - Sun Oct  4 08:34:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did I? - Sun Oct  4 08:34:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can't remember. - Sun Oct  4 08:35:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. - Sun Oct  4 08:35:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh - Sun Oct  4 08:35:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, mind if I toss you a scroll for that one? - Sun Oct  4 08:35:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure. - Sun Oct  4 08:36:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Also, tell your boyfriend to relax. He has a tendacy to be an asshole. - Sun Oct  4 08:36:41 2015
