<br><font color=teal>*Byakuren(Guujin) thinks: Probably. . . - Fri Dec  4 05:46:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So the demands are clear.  - Tue Dec  8 06:56:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You'll make it known that Konoha will not be standing with Kumogakure. In fact, it's standing -against- it. - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In addition, you'll send the demands that Raikage and any like-minded individuals remove themselves. - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Shinobi. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: You mean farmers. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: I understand... - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Trilliam. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're going. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Im going where? - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well Im off - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: He sending me to hick vile - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To Konoha to serve as a protector. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And if there is any violent reaction? - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then you'll go to quell the threat. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're giving them a warning to stand done and leave. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If not, force will be used. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We're goin to war!? WOO! - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Welp Rias looks like I get to come with you. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hrm. . To send Koji or not. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Of course. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh! My scouting on my way home!~ - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: The Raikage yelled at me to leave as soon as he saw me!~ - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: He was quite rude, yes, yes! - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm..~ - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sorry, sorry. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm all excited. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji, you'll go as well. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: F-Fighting?...S-Scary! NOPE, I'M OUT OF HERE!! - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.... - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Gentlemen, you know. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And izanami. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza do me a favour. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It could be said.... that I, like... war.. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Whiile Im gone can you take over Green Hiro and Abra's traning for me. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're being sent to Konoha to protect the village in the event Kumo retaliate againt their claim. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes myLord. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Likewise. If violence persists in Kumogakure. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Be super Hard on Abra okay. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys are going there to end it. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Guu - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: A-Are we l-leaving as yet, ma'am?... - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Understood? - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: He's in my school of earth. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Jah, Mein Fuhrer! - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai hold the fort down my Queen - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It vill be done, Jah, Jah! - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, alright.  - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yessir. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Right to it, Kage. Ah... - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I will. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, who am I goin with? - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall do my best. - Tue Dec  8 07:03:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Me, Koji, and..? - Tue Dec  8 07:03:15 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Me. - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: RIAS! - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Just the three of us? - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*catches*> - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Chikyu~ - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We at least bringin an army..? Or... any backup from Konoha? - Tue Dec  8 07:04:06 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored individual left following behind of Rias, the baby, and the troops that followed. While he left, the armored guy tripped over his feet a little, obviously he wasn't the most graceful guy...* - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: To Konoha. - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Chikyu. - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I gotta go kill some idiots. Hold tight while I'm out, yeah? - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh..? Let's go of to the side. - Tue Dec  8 07:05:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh god...I  wish I could talk to you more Rias but all this going... on. I need to talk to Mitsu , and I'll visit Konoha soon. - Tue Dec  8 07:06:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok - Tue Dec  8 07:06:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Please tell me we are not walking. - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... So, Rias. Beena  while. How you been? - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I-I don't know about.. you guys... B-But I'm running! - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im good... going home now - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, I'm comin. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hush you... - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Deployed with Iza and the others. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: B-But... I-I understand, ma'am. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'll deal with you when we get home. - Tue Dec  8 07:10:56 2015
<br><br><font color=teal>*Mikado(Gamer205) says: how u learn skills? - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: Suck deez nutz. - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: omit - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Mikado(Gamer205) says: omit lol - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What. .? - Tue Dec  8 07:22:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh her Asteroth... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Get ready... there might me trouble... hide of you need to - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Packed. - Tue Dec  8 07:23:44 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored individual brought his left hand up to his helmet, and lightly wiped against it, as if saying he was sweating."Whew.. that was a long journey...." it was funny since the guy hadn't done anything really, besides sit in a caravan from two villages.* - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I deserve this seat... - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:24:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: This is awkward.. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder what can I sell to these people here. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Weird. - Tue Dec  8 07:26:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I should try to get information on the two while I'm here. I'm sure she'll know something. - Tue Dec  8 07:28:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are all of these people here for, Lady Hokage? - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ZE KRIEEEEGGGGG! - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Seems as if she's still eating from the palm of Sunagakure.. - Tue Dec  8 07:32:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: So that's what this is all about. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: If I keep this up, I'll learn something. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Unecessary. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kekekekek.. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I was. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I still doubt there will be a war. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. maybe. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Anyway.. ah, Hokage-Sama... I'll talk to you later, then. I'll.. be around town, training. I'm.. certainly not ready to help with this kind of thing. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: War huh? - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess I should start making some calls. Whoever has the better supplies will win in the end. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Wait... War?... Nope! Going to flee this village too! Nope Nope, NOT AT ALL! I WON'T BE DRAFTED!!!! - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ..... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Gentlemen... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I.... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ... Like... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: War. - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thak you Trill, Yes this is my office... who are you again?; Osuda these are shinobi and guards from Suna to help us if we are attacked - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I kind of want in on this..I bet the others will want in on it too. It'll be an adventure! - Tue Dec  8 07:35:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Excuse me, may I have your name? I just can't keep looking at your beauty without knowing who you are. - Tue Dec  8 07:36:32 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: .... - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't you think all of this is a little unecessary? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Asteroth. Why? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... I don't think so, little Izanami. - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Aww... the mean woman didn't kill him with her meanie rays!!!! - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It'll be great!~ - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What a beautiful name to match a splendid craft of human perfection. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's reasonable people will get angry. It's like Sunagakure is the adult that forcefully holds unto their childs hand and tells them what to do even though they are old enough to make their own decesions. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I don't think they should be punished for trying to be themselves. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The real problem is why is Sunagakure still holding the hand of Kumogakure? - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I recall a situation like this before a few years ago. Just the sides were switched. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The way I see it, this is only making a problem bigger then it already is. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They clearly want their independence.. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Anyway, it's bad manners for me to not state my name. I'm Tetsu.  - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I say instead of trying to solve things violently, we come to a consensus and allow them their freedom. It's not another villages place to control another village..it only causes problems. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Then Riots. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway... - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I don't much care what they want, anyway. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It'll be fun if they resist... - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Sigh* - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I mean If that dont wanna farm no more then they should pay us for all the goods and stuff we provided. - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Guess it can't be helped.. - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Rias(LionHunter) says: Now we wait... - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Kumo's response. - Tue Dec  8 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Wait for a rebuttle - Tue Dec  8 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hopefully we will reach a peaceful agreement - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They didn't ask to be invaded. - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: This is what happens when you face a powerful nation - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: They didn't ask to be burried to the ground either, but it happened. War is war. - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: comfty...-omit- - Tue Dec  8 07:47:37 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: So Rias this is what you do all day now? - Tue Dec  8 07:47:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 07:48:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..that is how it is justified? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pretty twisted, don't you think? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Does it need a justification? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And if it's twisted, who cares..? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It's the way the world is.~ - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose if that's how you want to see things.. - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: War is war. - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: With people like this..the world shall be stained..~ - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Reality is a funny and fragile thing.  - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So susceptable to change yet so cemented in place.  - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:52:44 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: War is the father of al things... Heraclitus. - Tue Dec  8 07:54:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: War! Huh! Whaaat is it good for? The economy and science!  - Tue Dec  8 07:54:27 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Are you fucking serious? - Tue Dec  8 07:56:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Yet they don't listen again. - Tue Dec  8 07:57:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Typical. - Tue Dec  8 07:57:52 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hows it oging Geo due. - Tue Dec  8 07:58:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I thought youd be making Hiro crazy by now. - Tue Dec  8 07:58:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: They don't get it.. - Tue Dec  8 08:00:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not attacking. - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall defend. - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Great! - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall by no means attack. - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I wish to see not a single death among all of this. - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: I understand Izanami. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, if you guys need any weapons, come to me. I've got contacts. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're..clearly troubled. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: The guy... was probably a spy.. Oh boy... they're really blind.. or really stupid.. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Maybe!~ - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Rias? Do you wish to aide us? - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Trilliam, you must understand that if you attack these people. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're only making things worse. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Izanami. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Worse for humanity. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Your personal feelings are second to our orders, y'know. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke has ordered us to attack. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So... we're gonna attack. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Those orders stem from personal feelings. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Oh, Trill, you know this guy? Cool. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm?.. No, they stem from political decisions. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Izanami if they wished for peace they would have sent an ambassador. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Not.. personal feelings. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You don't solve violence with more violence. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're only adding more coal to the fire that has been slowly kindling. - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, but destroying the firewood and harvesting it's soul definitly stops the fire from being possible! - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These people deserve to make their own choices.  - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: All this...bloodshed can be avoided. - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Negotiation is in order, but their threats threaten more than lives of the present, but the futre.. - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And Sunagakure isn't making threats back? - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That announcement Rias made was nothing other then a threat. - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How else would you expect them to respond? - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't be a lap dog, look out for human life, not just the lives of those you know.  - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: ..... - Tue Dec  8 08:08:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: That contrasts greatly from what she initially told me.. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Gotta shut the bitch up. Gotta shut the bitch up. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Holy shit I need to get to this war already. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: The letter asked me to request assistance from you.  - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Hmm? - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --.... - Tue Dec  8 08:11:31 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: The Lord reuested your aide. But I presume that's your choice.  - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Aide where? - Tue Dec  8 08:13:13 2015
