<br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Says who, Yuriko..? - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Him..? - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: Y-yeah... - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Well it's lie.. You're no ones' pet.. - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: C-can you not call me... Yuriko.... - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: .... - Thu Dec  3 10:40:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Of course, what do you want me to call you? - Thu Dec  3 10:40:25 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: My name is Ume.... - Thu Dec  3 10:41:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) felt her focus slipping and groaned.* - Thu Dec  3 10:41:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I can't stay... aware very long. - Thu Dec  3 10:41:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He broke my mind. - Thu Dec  3 10:41:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) 's lower lip trembled as he asked her the question while staring into his eyes. "That's what it was suppose to be...that isn't what he wanted...he wanted a doll... a pet."* - Thu Dec  3 10:43:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He took control of everything I have left... I can't leave. - Thu Dec  3 10:45:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I have to get it back. - Thu Dec  3 10:45:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I should have killed him... when I had him under control. - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He controls me mind often now....  - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: E-every day. - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: .... - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: This.. guy.. - Thu Dec  3 10:47:15 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) 's head ached suddenly and she cringed as her legs buckled.* - Thu Dec  3 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Do you need help..? - Thu Dec  3 10:48:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: S-slipping..ngng... not real...ngng.. have...army...ngn..not reall..not real...stories...fairy tales...stories...no real. - Thu Dec  3 10:48:57 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) rose her head and looked up to Sogeki as the trembling had entirely faded and a devious littly grin surface as her fingers crawled up in a walk across the male's chest. "Ooh Sogeki-kun.~ I had no idea we were so close.~ Smarty-kun is going to be jealous.~"* - Thu Dec  3 10:49:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...Her? - Thu Dec  3 10:53:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun has girl parts? - Thu Dec  3 10:53:13 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) widened her eyes in a curious manner, "he didn't seem like he has girl parts."* - Thu Dec  3 10:53:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So flat... - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Weird. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Girl's can have flat bits? - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Takuma. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun.~ - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And kage-kun is Tease-kun. - Thu Dec  3 10:54:56 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) nodded confidently and then pulled away from his hug.* - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Ahh, I see. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Guess he tried to hit.. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Savage. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do you want me to let go? - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I cant have you being posessive of my hugs.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You know how Akarui-chan got.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Possessive..?- - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ahh, ahh. - Thu Dec  3 10:56:38 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) giggled girlishly at her hugs being addictive.* - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: And that must go back to her 'family member' that considers her a 'pet'.. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I should go home now, I got what I came for. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Even back then.. shit flew under the radar. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Wait, what did you come for? - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I made the deal with the village leaders. - Thu Dec  3 10:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Deal.. - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The one about the prisoners? - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: They let me eat the prisoners to be executed, I don't eat their people. - Thu Dec  3 10:59:12 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) shrugged.* - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Eat..? - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Like.. legit.. eat? - Thu Dec  3 11:00:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Thu Dec  3 11:03:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Nom nom. - Thu Dec  3 11:03:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Right, uhh.. - Thu Dec  3 11:04:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right... - Thu Dec  3 11:04:19 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I know it's creepy right?~ - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I can't judge.. - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But.. - Thu Dec  3 11:05:10 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) giggled wildly.* - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I haz to go! - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I've been gone a long time! - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Promise me you'll be back. - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Promise. - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why else would I make sure there is food for me here.~ - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright. Be on your way. - Thu Dec  3 11:06:52 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) gave him one last hug and a nuzzle before rushing out the door.* - Thu Dec  3 11:06:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I'm going.. to fix this.. - Thu Dec  3 11:07:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I promise.. - Thu Dec  3 11:07:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... What did I tell you again about my old name...? - Thu Dec  3 19:20:57 2015
<br><br><font color=teal>*Shin(Yaori) says: Claud-ette or somethhing  - Thu Dec  3 19:21:48 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't remember too well - Thu Dec  3 19:21:48 2015
<br><br><font color=teal>*Shin(Yaori) says: But yoyu're still Zenaki to me\ - Thu Dec  3 19:21:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Claus is fine. - Thu Dec  3 19:22:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Claud* - Thu Dec  3 19:22:40 2015
<br><br><font color=teal>*Amuki(Ej247) says: WaAAAAAAAHAWAAAAAAAAA! - Thu Dec  3 19:28:38 2015
<br><br><font color=teal>*Shin(Yaori) says: Poor kid - Thu Dec  3 19:29:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: They're annoying.  - Thu Dec  3 19:30:20 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Their home lives are going to be nightmarish - Thu Dec  3 19:30:20 2015
<br><br><font color=teal>*Shin(Yaori) says: They're kids - Thu Dec  3 19:30:20 2015
<br><br><font color=teal>*Shin(Yaori) says: Sing to them, that's what my mom did for me - Thu Dec  3 19:30:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't sing.  - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It's quiet now. - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Shin(Yaori) says: You're a mom now Zenaki, you can't be as  . . . as you were before - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: For probably only a second. - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Amuki(Ej247) thinks: spoil me with love. - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Thu Dec  3 19:31:12 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Thu Dec  3 19:35:28 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) walked in behind Yori with her heels clicking and her perfect doll dress and perfect doll like face was easily seen. When she saw his heterochromic gaze her eyes widened and she smiled wide, "Ooooooh, someone like me.~" She blinked her pink and brown heterochromic gaze and then looked at how his hair was evne like her, Yuriko's being half pink half brown on opposite sides of the eyes. (So that pink hair is with brown eye, brown hair is with pink eye)

She then peered towards Yori, "what was his mutation and number?" She slowly walked towards the leashed and jacketed boy who looked rather young to her. She pushed forward until her nose was nearly touching his own but not quite all the way against him. "Hello there,~" She waited for the information before saying more.* - Thu Dec  3 21:50:17 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled nice and wide with a bit of a crazed lookin her eyes. Whispering out, "sixty nine...." then giggled lightly and spoke up gently in a warm and probably too friendly tone. "I am Yuriko-chan,~ This is my base--but Thirteen runs it right now. The scientists were being very very bad and put you down here without permission so I am going to take you out if you are a good boy, are you a good boy?~" She hummed gently and wanted to touch him but she knew it probably was dangerous. Against her instincts she reached her right hand up and ran it over the burned side of his body along his cheek.* - Thu Dec  3 22:06:30 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: Yuriko has definately changed. - Thu Dec  3 22:07:21 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) bit down hard on her lip when Nine spoke of leaving her a nice shade of black. "I'm sure you'll find that hard to manage with someone like me, you can try all you like but if I let you out of this room and chains you have to understand if you hurt anyone else who is part of our group or this compound without good reason then I will have to put you back into your cage. You have to understand even if I don't like being an owner of others, I -do- own you and Thirteen is over you. We are the only two you have to listen to and the guards might try and keep you in line if you do something bad but...yeah... if you are a good boy then you don't have to worry.~" She ran her hand up through his hair and ruffled it before releasing her hand from his person. It likely could be noted by the boy, if he had feeling in his burnt cheek, that her hand was -extremely- soft. He probably has never felt something so soft in his lifetime or ever will feel something as soft as her skin again.

When he stood she stood and took a step back as he began to flame up with steam and then the flame burst out on the straight jacket. "OoooooOooOO.~ I like you Nine-kun.~" * - Thu Dec  3 22:25:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: U-uhm. - Thu Dec  3 22:27:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: He's like you. - Thu Dec  3 22:28:41 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.. he was in a cage too but now he uh. - Thu Dec  3 22:28:41 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) paused out of no where and stared off at nothing as a flash back and crazed moment came over her. Her eyes looked crazed and hatred filled as she tried to come back to reality.* - Thu Dec  3 22:28:41 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) blinked a few times and craned her head back towards him and almost as if nothing had been wrong she continued speaking. "He run the base for me because I don't know enough how to do everything! I'm just a silly doll so I sit and watch him do the important stuff. Heh.~" Something about how she had said that sounded forced and practiced as she turned to look to Yori and stepped back out of the way. "Can you let him out now, please Yori-kun?~"* - Thu Dec  3 22:34:40 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Thanks. - Thu Dec  3 22:38:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He's so normal. - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: So why are you letting me go again? - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Other than wanting to hurt people. - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Becauuuuuse.~ - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't like that they locked all of you up and lied to Yosuke. - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And you are similiar to me! - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So more friends like me. - Thu Dec  3 22:39:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you human? - Thu Dec  3 22:39:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmm? - Thu Dec  3 22:39:47 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) leaned in closer and stepped next to Nine as she stared up at him.* - Thu Dec  3 22:39:47 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Heh. - Thu Dec  3 22:52:35 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Im not even sure. - Thu Dec  3 22:52:35 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oooooh, that's okay. We will figure it out.~ - Thu Dec  3 22:56:51 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Lets go! We have more cages to open! - Thu Dec  3 22:56:51 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) spun on her heel and that's when she spotted Thirteen and froze with wide eyes staring at him.* - Thu Dec  3 22:56:51 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Mmkay. - Thu Dec  3 23:00:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) slowly lowered her ehad and then moved through the door past Thirteen. "That's Thirteen, Nine-kun."* - Thu Dec  3 23:00:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: hold on he has to log in - Thu Dec  3 23:03:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yori, who is this next room? - Thu Dec  3 23:06:14 2015
<br><br><font color=teal>*Yori(Sisbro55) says: One is in this room, and two is in the other. - Thu Dec  3 23:07:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh. - Thu Dec  3 23:07:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Okay.~ - Thu Dec  3 23:07:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: One and Two.. - Thu Dec  3 23:14:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Twoooooo more people.~ - Thu Dec  3 23:14:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yay.~ - Thu Dec  3 23:14:46 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) blinked a few times after the door was opened by Yori and she stared in at the child. "Hm?" She slowly walked over in her heels and then crouched down in front of the boy with her head craned to the side. "You don't look like you belong in here..." he looked so -normal-.... and not at all scary, everyone else had been chained up for being dangerous in the other cages.* - Thu Dec  3 23:47:12 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) blinked a bit at the crying child. "What's your sister's name? You are one right?~" She reached out and pet over his hair slowly to try and calm him. "Shh shh, no more crying now. Crying is for the clouds."* - Fri Dec  4 00:05:07 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled wide and nodded as her hand lowered back down, "yes I am going to get you back to your sister because I am letting you out.~ I own this place now and the scientists were bad bad people who hid you away! We are going to make sure you are released and we can all be friends! We won't keep you away from your sister ever again as long as you are a good boy.~" She pat his head again before standing up and reaching an extremely soft hand out to him. "Are you ready to go tell your sister, Thing one?~"* - Fri Dec  4 00:17:55 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) took the boys hand while he was stumbling about. "Mhm.~ I ate all the bad scientists, now only the nice ones who do what we say are here.~" She then led him out of the room and into a hall that was long and white with tiled flooring and numbers on each door. On his door was the number '1' in black, she lead him to the next room down the hall, assumably with everyone else following (They were getting a pretty large group now) to a room with the number '2' upon it's face. 

"Ready?"* - Fri Dec  4 00:37:32 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) stepped inside the room and released the boy's hand, she expected he would rush over to her side and Yuriko slowly walked forward and then crouched in front of the girl. "Ooooooh, a girl! Hello there.~ I'm Yuriko-chan, Thing Two.~" She wiggled her hips back and forth and bobbed her head from side to side. "We are going to let you out okay? That way you can be with your brother and be happy and we can all be friends but you have to promise to be a good girl, if you are bad then things will go badly and we will have to put you back into the cage! So behave like a good girl and everyone can be happy.~" She nodded some and reached up to remove the muzzle, "Do you understand Thing Two?~"* - Fri Dec  4 00:54:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) became very serious as she leaned in and pressed her nose against the girls and spoke in a terrorizing and menacing voice. "Now you listen here, either you can be a good girl or I leave you in this room to rot... or I can eat you. Which would you prefer? Be with your brother and free, rotting, or consumed alive?" Her eyes were crazed and shown no mercy at all for the child. 

* - Fri Dec  4 01:11:40 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Oooh, this flowers got thorns~ - Fri Dec  4 01:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ----------------Nngng..f-flower. - Fri Dec  4 01:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Flowers and trees....f-flower... - Fri Dec  4 01:15:05 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was going to prove a point. She felt the nose rubbing against her own and widened her eyes at the weird shown of defiant affection. Her lips pursed and then she leaned in and whispered into Two's ear. "So that we are clear... if you try to be a bad girl I will eat your brother bit by bit..finger by finger..slowly in front of you and then I will eat you just as slowly to assure you stay alive till I finish off your soul. Do we have everything clear?~" She smiled cheerfully as she pulled back and then stood up an began to free the girl from her restraints entirely. God help her if she tried -anything-. Course it was a small room...those who were watching probably could hear the whispers.* - Fri Dec  4 01:24:28 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) watched the change occuring and their conversation and dispute, as it all was figured out and Two was left in control a wide smile pulled at her lips. "OoooooOoOOo,~ so much fun! You are going to be such a good friend to have! Woooo, let's go Thing One and Thing Two, Nine-kun, Yori-kun,--" she cut off when she saw Thirteen and smiled weakly, "Thirteen.~" Then she continued on to the next room that had a number '12' on the door in black.* - Fri Dec  4 01:44:06 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) opened the door and her, Yori, Nine, Two, and Thirteen all stepped into the room. She made her way with clicking heels over to the male and crouched down in front of where he was sitting and blinked a bit as the only light in the room was coming in from the bright white hallway. "Hello there, Twelve.~ I am Yuriko-chan.~"* - Fri Dec  4 02:28:28 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) brought herself down to eye level and pressed her nose against his nose without any fear of what he might be and stared deeply into those purple eyes with her pink and brow hue's before whispering to him with no breath parting her lips.

"Would you like to be free?"* - Fri Dec  4 02:36:09 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) watched him as her soft nose pressed against his own and she looked to the side at his hands reaching for her neck. A giggle sounded and she wondered what he had done if he was able to reach. "I am not playing games, but you seem to be playing dead.~ I am here to free you, become a free man and be joined with us." She waved her hand back over her shoulder to the others, "if you are a good boy and don't do things unless they are necessary or I or Thirteen says it's okay. We killed all the scientists who did this too you.~ I didn't know they were doing this and I have made it a little mission of mine to free all who are willing to be good so we can be a little rag-tag team of monsters together in harmony. Do you like the sound of that?~" She nuzzled her nose against his own as her eyes slowly blinked and the anticipation of his response was killing her. He was far more intelligent it seemd than the others she had released...ever since Thirteen.* - Fri Dec  4 02:42:59 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) hummed gently and leaned in to whisper against his ear with her lips brushing against his earlobe and curve of cartlidge. "Then I will either leave you here... or eat you up till there is nothing left.~"* - Fri Dec  4 03:02:36 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: Well. - Fri Dec  4 03:04:19 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: That's fun. - Fri Dec  4 03:05:10 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: I could always freeze his throat or something. - Fri Dec  4 03:05:10 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: That's always cool. - Fri Dec  4 03:05:10 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) giggle and then began to release him from his chains with the key. "Good good.~"* - Fri Dec  4 03:15:24 2015
<br><br><font color=teal>*Twelve(Parris111) says: Hmph. - Fri Dec  4 03:16:16 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: So what do you do? - Fri Dec  4 03:17:07 2015
<br><br><font color=teal>*Twelve(Parris111) says: I exist. - Fri Dec  4 03:17:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No no he means what is special about you. - Fri Dec  4 03:18:49 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: All of us are special. - Fri Dec  4 03:18:49 2015
<br><br><font color=teal>*Twelve(Parris111) says: I know what he meant. - Fri Dec  4 03:19:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you human? - Fri Dec  4 03:19:40 2015
<br><br><font color=teal>*Twelve(Parris111) says: Yes. - Fri Dec  4 03:19:40 2015
<br><br><font color=teal>*Twelve(Parris111) says: I am. - Fri Dec  4 03:19:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So what do you dooooo?~ - Fri Dec  4 03:21:23 2015
<br><br><font color=teal>*Twelve(Parris111) says: Things that live around me tend to die. - Fri Dec  4 03:23:56 2015
<br><br><font color=teal>*Twelve(Parris111) says: Whether it be. - Fri Dec  4 03:23:56 2015
<br><br><font color=teal>*Twelve(Parris111) says: Rats. - Fri Dec  4 03:23:56 2015
<br><br><font color=teal>*Twelve(Parris111) says: Dogs. - Fri Dec  4 03:23:56 2015
<br><br><font color=teal>*Twelve(Parris111) says: Women. - Fri Dec  4 03:24:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oooooh, good thing I can't die huh?~ - Fri Dec  4 03:28:12 2015
<br><br><font color=teal>*Twelve(Parris111) says: Everything dies.. - Fri Dec  4 03:28:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mmmnnn nope.~ - Fri Dec  4 03:29:04 2015
<br><br><font color=teal>*Twelve(Parris111) says: Eventually.- - Fri Dec  4 03:29:04 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: This guys boring, who else do we have to save. - Fri Dec  4 03:29:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Eh...that's it. - Fri Dec  4 03:32:28 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) stood up and then walked towards the door with her hips swaying back and forth and her heels clicking. "Lets get you all showers and new clothes!"* - Fri Dec  4 03:32:28 2015
<br><br><font color=teal>*Sixty-Nine(Ama No Murakumo) says: That ass.. - Fri Dec  4 03:33:20 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) notes they would be provided with any kind of clothing they wanted from normal and peasant like to extremely fancy like she wore.* - Fri Dec  4 03:40:09 2015
<br><br><font color=teal>*Twelve(Parris111) says: :P:_ - Fri Dec  4 03:43:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...oooooooooooooooooooooooooooooooooooooh. - Fri Dec  4 03:44:25 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You look good! - Fri Dec  4 03:44:25 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was new to knowing all of these guys, she actually looked a little lost as she looked over each of their new outfits. * - Fri Dec  4 03:51:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You all dress so differently>~ - Fri Dec  4 03:52:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: *.~ - Fri Dec  4 03:52:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Have any of you been on the outside before? - Fri Dec  4 03:56:22 2015
<br><br><font color=teal>*Twelve(Parris111) says: Briefly, and I've forgotten what it looks like out there. - Fri Dec  4 03:59:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: How old were youuuuu? - Fri Dec  4 04:02:20 2015
<br><br><font color=teal>*Twelve(Parris111) says: . . . I don't remember.. I don't even know how old I am. - Fri Dec  4 04:03:12 2015
<br><br><font color=teal>*Twelve(Parris111) says: I lost count at Twelve. - Fri Dec  4 04:03:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....fuuuuunny.~ - Fri Dec  4 04:14:17 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) giggled wildly at his joke.* - Fri Dec  4 04:14:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Come sit.~ - Fri Dec  4 04:16:00 2015
<br><br><font color=teal>*Twelve(Parris111) says: No. - Fri Dec  4 04:16:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Awww why? - Fri Dec  4 04:16:51 2015
<br><br><font color=teal>*Twelve(Parris111) says: Because the terms of my release were. - Fri Dec  4 04:16:51 2015
