<br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe...She'd take out a kunai and tossed it directly at mitsunara, a fake explosive tag on the end as it'd zoom past her..Wether she were distracted by it or not, momura kept up with her location. The girl suddenly zooming forward at full speed, a good 129mph in an instant. As she did this, the girl leapt into the air and aimed to nail her foot right into the female's face.

"D-Dynamic entry!"* - Mon Nov  9 21:38:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: He's my uhm.. - Tue Nov 10 01:20:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I l-live with him. - Tue Nov 10 01:21:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Ah? A roommate? - Tue Nov 10 01:21:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No.. - Tue Nov 10 01:21:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm.. - Tue Nov 10 01:21:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He's my uhm..b-boyfriend. - Tue Nov 10 01:21:04 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sat down as well.* - Tue Nov 10 01:21:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see, He's a lucky man. - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: So you own this place? - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No. - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I'm a w-waitress. - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm... - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you wanna order, I a-always have menus with me. - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I think I'm fine for now--Actually could I get a bottle of Sake - Tue Nov 10 01:24:28 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: ?* - Tue Nov 10 01:24:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Nov 10 01:24:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) snaps her fingers, sake being brought.* - Tue Nov 10 01:24:28 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I was thinking,  You should get to know your friends right? Would you like to make this interesting by playing a game of truth or dare? - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm..S-Sure.. - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Ladies first, Truth or dare? - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..T-Truth. - Tue Nov 10 01:27:02 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm... - Tue Nov 10 01:27:02 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What's your favorite food? - Tue Nov 10 01:27:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Watermelon.. - Tue Nov 10 01:27:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..T-Truth or dare..? - Tue Nov 10 01:27:53 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm... - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Truth. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you really wanna be my friend? - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Yeah. - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Truth or Dare? - Tue Nov 10 01:30:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Dare.. - Tue Nov 10 01:30:27 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I dare you to drink a shot of Sake. - Tue Nov 10 01:30:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Drink? - Tue Nov 10 01:38:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov 10 01:38:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) got a small glass and poured some sake in it, before taking a shot.

"E-Ehh...I..d-don't like the taste.."* - Tue Nov 10 01:38:08 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Nice to know. - Tue Nov 10 01:38:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Truth or dare? - Tue Nov 10 01:38:59 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Dare. - Tue Nov 10 01:38:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I dare you to c-chug down the s-sake. - Tue Nov 10 01:38:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..D-Dare. - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: You know....You can't refuse a dare after choosing it right? - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If I don't like it I'll r-refuse. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But say your d-dare. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hmph! - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Sit on my lap. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Pick a n-new dare. - Tue Nov 10 01:44:06 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm..... - Tue Nov 10 01:44:06 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Pur your feet on my lap. *nod* - Tue Nov 10 01:44:06 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) slid her tiny feet onto his lap, not caring for it as she'd stretch over, only her head above the table.

"A-Alright, Truth or d-dare..?"* - Tue Nov 10 01:44:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dare you to m-move my feet back onto the floor infront o-of me. - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Nope~ Choose another dare~. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Stand up. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Truth or dare? - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Dare. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I dare you to drink an entire bottle of Sake. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-New dare. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Half a bottle. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No sake. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I d-don't drink. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Then...I dare you to go through with my next dare without refusing. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fine..but if it's p-pervy, I-I'll h-hurt you.. - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: As long as you comply first, That's fair. - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I'll go with Dare. - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dare you to stay still for the r-rest of the game. - Tue Nov 10 01:50:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm...I'll get tired of standing so I can't.. - Tue Nov 10 01:50:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sit on the floor for the rest of the game. - Tue Nov 10 01:50:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Truth. - Tue Nov 10 01:53:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hm... - Tue Nov 10 01:53:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What color are your panties? - Tue Nov 10 01:53:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Red.. - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A-Another creeper. - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Truth. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you hitting on me? - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Maybe a bit. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Don't forget to put your feet back on my lap - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm in a comitted relationship. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I wouldn't anything to jeopardize it. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Right... - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Dare.. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Since your feet are on my lap...I dare you to rub  down there with it for the remainder of the game. - Tue Nov 10 01:58:36 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sighed...She'd slowly move her foot "down" there before suddenly jamming her foot right against it, kicking it with strength before moving her foot back.

"P-Pervert." She'd say, getting out of her chair.* - Tue Nov 10 02:00:19 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) went to pull her foot away, "N-No...I don't wanna be friends with you." She'd try to get up then, and leave...Of course if he didn't let go of her ankle, things were going to get bad.* - Tue Nov 10 02:02:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 02:08:00 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) stared up at him with an angered glare, of coure, being five other people in the restaurant, the workers stared over at ryutaro, Asking him to leave momura alone...And get off of her..Of course, if he didn't...Things would look bad.

"G-Get off of me.." She'd grab onto his ankles, trying to push him off.* - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 02:13:07 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe, suddenly she'd shoot out a tiny bullet-like seed directly at ryutaro, aiming to hit him in the facial region..As suddenly her head grew atennae, and she'd suddenly..have a shit-ton more strength, as she'd aim to toss him against the wall and get up, an angered look on her face.

"D-Don't touch me ever a-again!"* - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Honestly? - Tue Nov 10 02:22:30 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I have no problem moving. - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: But man, She can't take a joke. - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: If you can assure me, You won't make me hit the daily requirement for exercise. - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I'll happily move. - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I assure you. - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Release her, please.  - Tue Nov 10 02:23:21 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) got onto her feet, standing next to hanai.* - Tue Nov 10 02:25:55 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) looked fine.* - Tue Nov 10 02:25:55 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Seems I arrived in the nick of time, before anything escalated. - Tue Nov 10 02:26:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-He kept hitting on me.. - Tue Nov 10 02:26:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: S-Such a c-creep.. - Tue Nov 10 02:26:46 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..... - Tue Nov 10 02:27:37 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I'd like. - Tue Nov 10 02:27:37 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Another bottle of Sake. - Tue Nov 10 02:27:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'll oblige you with a bottle. Momura, please go into the back. - Tue Nov 10 02:27:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ...... - Tue Nov 10 02:27:37 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) went to the back, coming with a sake bottle, tossing it to ryutaro..* - Tue Nov 10 02:28:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) just kinda..stayed very close to hanai, staring at ryutaro as she ignored ortho's presence for the most part.* - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: A strange texture to that man's eyes. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Well, I dare not say texture.... - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Appearance is more of an appropriate word... - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Hanai-kun? - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Momura must've mentioned me. - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...Momura. - Tue Nov 10 02:49:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Give him one of the menus. - Tue Nov 10 02:49:48 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) handed hanai a menu.* - Tue Nov 10 02:51:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: It's.... the menu of this restaurant. - Tue Nov 10 02:51:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Oh right... - Tue Nov 10 02:54:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Momura... - Tue Nov 10 02:54:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'll be updating the menu with some new things soon. - Tue Nov 10 02:54:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I mean. - Tue Nov 10 02:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Your girlfriend - Tue Nov 10 02:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Has been an excellent hostess. - Tue Nov 10 02:57:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: .  . . - Tue Nov 10 02:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 02:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: She made sure to tend to my needs, So I had a great time. - Tue Nov 10 02:58:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: And the service was great./ - Tue Nov 10 02:58:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'd be the chef. - Tue Nov 10 02:58:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Momura here is the waitress. - Tue Nov 10 02:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Take...a seat. - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Forgive me. You do not appear to have the traditional chef attire. - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Apologies. - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: It's fine. - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What would you like to order? - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: We have a special as well, if you'd like to order it. . . . - Tue Nov 10 03:00:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: An odd order. - Tue Nov 10 03:00:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Maybe he's trying to refill. - Tue Nov 10 03:00:54 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) le wrote down the order, and walked back to hanai, changing into her waitress-attire after.* - Tue Nov 10 03:01:45 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) takes the plate, walking out to ortho as she'd set the three glasses down infront of him, leaving room for hanai to place down the bowl.* - Tue Nov 10 03:06:01 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Thank you for your kind words. - Tue Nov 10 03:11:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: We are still working on expanding our menu. - Tue Nov 10 03:11:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. How much would it cost for you take double your stock? - Tue Nov 10 03:12:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Double our s-stock? - Tue Nov 10 03:12:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Correct. Your food supply, how much would it cost for you to double it? - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Cost...? - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Mhm. - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Maybe two-hundred thousand at the most.... - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Our current one. - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see. - Tue Nov 10 03:12:51 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) went to pick up half of it, the other half going to hanai.* - Tue Nov 10 03:14:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thank you. - Tue Nov 10 03:15:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-Thank you... - Tue Nov 10 03:16:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The pleasure is mine. I.. request something more of you. - Tue Nov 10 03:16:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The.. both.. of you. - Tue Nov 10 03:16:16 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm? - Tue Nov 10 03:21:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What is it? - Tue Nov 10 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yeas..? - Tue Nov 10 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9sorry - Tue Nov 10 03:22:14 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The person that was just here, what is his name? - Tue Nov 10 03:22:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He said yuta. - Tue Nov 10 03:22:14 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see,. And you know him personally? - Tue Nov 10 03:23:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Not really. - Tue Nov 10 03:23:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He just kinda...h-hit on me then pushed me to the ground a-after telling me h-he wants me to t-touch him.. - Tue Nov 10 03:25:39 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . .. - Tue Nov 10 03:27:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm... - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: It's over now so.... - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Sir, if you'd like to come back for more food, we'd be happy to serve you. - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Our menu is expanding and whatnot... - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: And thanks to your investment... - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: We'll have plenty to serve. . . . - Tue Nov 10 03:29:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov 10 03:30:46 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Thank you for your fine services. - Tue Nov 10 03:31:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: E-Enjoy the rest of your day. - Tue Nov 10 03:33:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..Y-Yea...Have a n-nice day.. - Tue Nov 10 03:33:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm fine.. - Tue Nov 10 03:35:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I almost a-activated m-my uhm..L-Lycanthropy.. - Tue Nov 10 03:35:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But the fire.. - Tue Nov 10 03:35:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It was really hot.. - Tue Nov 10 03:35:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Don't get hurt please... - Tue Nov 10 03:35:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I love you too much to watch you be hurt. - Tue Nov 10 03:35:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll be fine.. - Tue Nov 10 03:36:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Let's go home for todya. - Tue Nov 10 03:38:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov 10 03:38:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Do you want to visit Kuro sometime, maybe? - Tue Nov 10 03:39:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea. - Tue Nov 10 03:39:18 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Okay. - Tue Nov 10 03:39:18 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Why don't we take a shower first? - Tue Nov 10 03:39:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright - Tue Nov 10 03:40:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go check out the inn for Kuro. - Tue Nov 10 03:41:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Tue Nov 10 03:41:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-he's not around it appears. - Tue Nov 10 03:43:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: -- - Tue Nov 10 03:43:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hey, Kuro! - Tue Nov 10 03:44:25 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Would you like to come join Momura and I for dinner? - Tue Nov 10 03:44:25 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-To our house. - Tue Nov 10 03:50:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: C-Come. - Tue Nov 10 03:50:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'll go cook dinner. - Tue Nov 10 03:51:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Hopefully it isn't too small for you... - Tue Nov 10 03:51:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Our house taht is. - Tue Nov 10 03:51:15 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's alright. - Tue Nov 10 03:51:15 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It reminds me of the rooms of the temple.  - Tue Nov 10 03:51:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-The shop's been well. - Tue Nov 10 03:56:22 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, staring at her meal as it was set down, "T-Thank you...Hanai!" She'd get out her chopsticks and began digging in.* - Tue Nov 10 04:00:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mhmm... - Tue Nov 10 04:00:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm. - Tue Nov 10 04:07:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah, of course. - Tue Nov 10 04:07:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-So, what do you do for a living, Kuro-san? - Tue Nov 10 04:07:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Hm..I guess you can say I'm unemployed. - Tue Nov 10 04:09:10 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: That is, in the normal sense of the word. - Tue Nov 10 04:10:01 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: As I've said before, I'm a monk searching the world for an answer to peace. - Tue Nov 10 04:10:01 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: For the time being, I'm laying in Sunagakure for refuge until I can finish my training. Once I'm done, I will resume my journey of wandering the lands. - Tue Nov 10 04:10:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (we should make our shop's staff all lycans like tokyo ghoul, but 4 lycans - Tue Nov 10 04:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So for the time being, I have no actual "job". - Tue Nov 10 04:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why do you ask? - Tue Nov 10 04:11:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: (Yeah.) - Tue Nov 10 04:12:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Ah. - Tue Nov 10 04:12:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I was just wondering how you lived. - Tue Nov 10 04:12:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Without much money. - Tue Nov 10 04:12:35 2015
