<br><font color=teal>*Ortho(DhatBoiNick) says: Until I claim the life of Lera. - Wed Nov  4 23:41:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Exploring? - Thu Nov  5 04:11:18 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Hmm. - Thu Nov  5 04:12:09 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Have you not heard the news about this village? - Thu Nov  5 04:13:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of the Death? - Thu Nov  5 04:13:00 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Indeed. - Thu Nov  5 04:13:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And why would that stop me? - Thu Nov  5 04:13:52 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Unknown. - Thu Nov  5 04:13:52 2015
<br><br><font color=teal>*Konami(AxelFraire) says: This village tends to have no one around it. - Thu Nov  5 04:14:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Meh. - Thu Nov  5 04:16:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I tend to visit empty places. - Thu Nov  5 04:16:25 2015
<br><br><font color=teal>*Konami(AxelFraire) says: I see. - Thu Nov  5 04:22:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I tend to drift when not following 'suggestions' - Thu Nov  5 04:24:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm surprised I haven't gotten killed by bandits yet. - Thu Nov  5 04:24:57 2015
<br><br><font color=teal>*Konami(AxelFraire) says: A wandering soul. - Thu Nov  5 04:24:57 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Around these parts I am the only thing alive. - Thu Nov  5 04:24:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Thu Nov  5 04:25:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That blows, I assume. - Thu Nov  5 04:25:48 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Yeah. - Thu Nov  5 04:28:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not leave? - Thu Nov  5 04:28:22 2015
<br><br><font color=teal>*Konami(AxelFraire) says: No need. - Thu Nov  5 04:28:22 2015
<br><br><font color=teal>*Konami(AxelFraire) says: The dead and I get along. - Thu Nov  5 04:28:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 04:28:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Thu Nov  5 04:28:22 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Slowly stands to his feet, brushing himself off, "Well then, I won't be bothering you anymore. I have to go find someone to 'collect' from." saying such he'd stretch some before throwing his hands into his pockets.* - Thu Nov  5 04:31:47 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Very well. - Thu Nov  5 04:33:29 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Take care guy. - Thu Nov  5 04:33:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Thu Nov  5 04:33:29 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) walks the fuck off.* - Thu Nov  5 04:33:29 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Trees.... - Thu Nov  5 05:31:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Hmm? - Thu Nov  5 05:32:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Oh, mhm. - Thu Nov  5 05:32:22 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: There are people nearby. - Thu Nov  5 05:34:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..Where..? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: To my west. - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: How many..? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Two. - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: ....three? - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Approachi- - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ... - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Resting. - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: They are all sitting and talking. - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Alright, let me know when they close in. - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: I don't think they know we are here.... or else they would come right? - Thu Nov  5 05:38:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: They left.... - Thu Nov  5 05:40:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Remember, we move with grace and caution. - Thu Nov  5 05:40:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: No one has ever died from being to cautious. - Thu Nov  5 05:40:54 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Le creeps the fuck up.* - Thu Nov  5 05:44:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I.. may want you to help me with something soon. - Thu Nov  5 05:45:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Okay. - Thu Nov  5 05:45:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Seeing as thought most of Kirigakure, if not all, migrated.. you think you can help me scout the village? - Thu Nov  5 05:45:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Mhm. - Thu Nov  5 05:46:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Just enough to see what is left behind- - Thu Nov  5 05:46:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: You, baby girl. Are a rida' -omit- - Thu Nov  5 05:46:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Are you willing to go there now? - Thu Nov  5 05:46:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: We just got here but if you want me to. - Thu Nov  5 05:46:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: You have a say in everything I do, flower. - Thu Nov  5 05:49:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Remember that. - Thu Nov  5 05:49:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Wait. . .flower? No hesitation. . . - Thu Nov  5 05:49:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: A-are they. . . - Thu Nov  5 05:49:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This is weird. - Thu Nov  5 05:50:17 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Starts to walk away, about to throw up.* - Thu Nov  5 05:50:17 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: That's...nice... but you want me to look so I will. - Thu Nov  5 05:51:08 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Simply watches those mofos go off, not wanting to interupt their 'alone' time, he'd walk off.* - Thu Nov  5 05:57:58 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Runs in dressed in nothing but a sheet, "TOGA TOGA TOGA." then runs out.* - Thu Nov  5 07:36:06 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ..... - Thu Nov  5 07:36:06 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Walks in, "Oh. . ."* - Thu Nov  5 07:36:06 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: hm... - Thu Nov  5 07:39:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..That was... - Thu Nov  5 07:40:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. - Thu Nov  5 07:40:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I think. . . - Thu Nov  5 07:40:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'ma go. . . - Thu Nov  5 07:40:22 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Quickly U-turns, heading back for the door.* - Thu Nov  5 07:40:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Punk bitch -omit- - Thu Nov  5 19:44:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Thu Nov  5 19:51:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Nov  5 19:51:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That was... - Thu Nov  5 19:51:40 2015
<br><br><font color=teal>*Kurt(Zygman) says: Only the beginning? - Thu Nov  5 19:52:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: More or less. - Thu Nov  5 19:52:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: Hm. - Thu Nov  5 19:52:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: Interesting personal affairs. - Thu Nov  5 19:52:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: I don't assume you're looking for some services? - Thu Nov  5 19:53:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Depends on what you can offer. - Thu Nov  5 19:53:23 2015
<br><br><font color=teal>*Kurt(Zygman) says: My companionship. - Thu Nov  5 19:54:14 2015
<br><br><font color=teal>*Kurt(Zygman) says: Though . . . I always want to know what I should look forward to. - Thu Nov  5 19:54:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Companionship? Fag. - Thu Nov  5 19:55:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was expecting mo- - Thu Nov  5 19:56:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Companionship? The path I walk isn't fit for everyone, boy. I dine with demons and use angels as target practice. - Thu Nov  5 19:56:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Imma kill all u bitches - Thu Nov  5 19:57:39 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: -omit- - Thu Nov  5 19:57:39 2015
<br><br><font color=red>*Aden(TenaciousDeeznuts) just <i><font color=white>KNOCKED OUT<font color=red></i> by Aden(TenaciousDeeznuts) - Thu Nov  5 20:00:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I hear. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You've been looking for me? - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Aye. .  - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I just need to ask a question.  - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: These fuckers - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll give you. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Index(Jjking217) says: An answer. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Keep waltzing into the village - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Think about your question. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Unannounced. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Carefully. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Before asking. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Or I may just get mad. - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I mean no disrespect. I only need to ask about a situation involving LAdy Katsune. IT was reported that she, while assisted by you, killed Lord Kilm of the Sand. Is this true or false?  - Thu Nov  5 20:03:37 2015
<br><br><font color=teal>*Index(Jjking217) says: It is false, And actually. - Thu Nov  5 20:04:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Katsune didn't kill Kilm. - Thu Nov  5 20:04:28 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Looks to Rias, "You want this mill, get on your knees and earn it." -omit-* - Thu Nov  5 20:13:52 2015
<br><br><font color=teal>*Ghost Koeki(ZuuZuu) thinks: What..I can feel pain as a ghost? - Thu Nov  5 20:58:14 2015
<br><br><font color=teal>*Ghost Koeki(ZuuZuu) thinks: Goddamnit..I thought I was done with periods for good.. - Thu Nov  5 20:58:14 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Uhhhhhhhhhhhhhhhhhh. - Thu Nov  5 21:11:53 2015
<br><br><font color=teal>*Kurt(Zygman) thinks: Ortho definitely sounds like a guy I'd follow. I'm very interested now. - Thu Nov  5 21:13:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why do the words of Index...resonate with me so much..? - Thu Nov  5 21:13:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Because pansies stick together. - Thu Nov  5 21:14:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: -omit- - Thu Nov  5 21:14:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho. - Thu Nov  5 21:23:50 2015
<br><br><font color=teal>*Index(Jjking217) says: I will not answer, Because you know just as I do. Those who give quick answers to questions such as that. - Thu Nov  5 21:23:50 2015
<br><br><font color=teal>*Index(Jjking217) says: Will be the first to betray you. - Thu Nov  5 21:23:50 2015
<br><br><font color=teal>*Index(Jjking217) says: That's not resolve answering a question without thinking it through. - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: I will never betray Ortho - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Index(Jjking217) says: It's stupidity. - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm going to let you decide, which I am. - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You... - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are my domino. - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: -jk ride or die omit- - Thu Nov  5 21:24:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: This is a question for to answer, and only you. - Thu Nov  5 21:25:32 2015
<br><br><font color=teal>*Index(Jjking217) says: And I'll give you my answer. - Thu Nov  5 21:26:24 2015
<br><br><font color=teal>*Index(Jjking217) says: When I decide upon it. - Thu Nov  5 21:26:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I give you until the next time I see you. - Thu Nov  5 21:26:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Fags. -omit- - Thu Nov  5 21:29:48 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: She looks like Nina when Thaenan says something stupid. - Thu Nov  5 21:46:52 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Hm, he left. - Thu Nov  5 21:53:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This is sooooo fun. - Thu Nov  5 21:54:33 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Interesting. - Thu Nov  5 21:55:24 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Though not my problem because they don't seem to be from my village. - Thu Nov  5 21:56:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You know. - Thu Nov  5 21:58:49 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't know who most of you are. - Thu Nov  5 21:58:49 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: But if you bring problems into Konohagakure Shinjin will not be pleased. - Thu Nov  5 21:59:40 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Nor will any of his shinobi. - Thu Nov  5 21:59:40 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Who's Shinjin? - Thu Nov  5 21:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I wonder is Ortho pollinated that yet. -omit- - Thu Nov  5 21:59:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Nov  5 22:02:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I only came here to train today. - Thu Nov  5 22:03:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why is it everytime I come here. - Thu Nov  5 22:03:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Random shit happens. - Thu Nov  5 22:03:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not? - Thu Nov  5 22:03:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Because I hate random shit like this. - Thu Nov  5 22:03:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That's why. - Thu Nov  5 22:03:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Grow up and get over it. - Thu Nov  5 22:04:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Nov  5 22:04:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hey faggot. - Thu Nov  5 22:04:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Shut up. - Thu Nov  5 22:04:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm not in the mood for your shit. - Thu Nov  5 22:04:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh I'm sorry? Did I upset you? - Thu Nov  5 22:05:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You little fucker. - Thu Nov  5 22:05:39 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: . . . . - Thu Nov  5 22:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: People get angry so easily. - Thu Nov  5 22:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Someone is mad~ - Thu Nov  5 22:21:00 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Very good. .  - Thu Nov  5 22:25:16 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Are you able to manipulate the Earth? - Thu Nov  5 22:25:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 22:26:08 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Alright. Show me what You can do. - Thu Nov  5 22:26:08 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: O-oh, I don't have one of those techniques like the other ones . - Thu Nov  5 22:26:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: 'Natural' Affinities? Pfft. - Thu Nov  5 22:28:41 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: No. . Ortho and I know how to manipulate the earth. . To move it with our chakra.  - Thu Nov  5 22:29:32 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: That isn't the same as telling it what to do? - Thu Nov  5 22:30:24 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I am unsure Ume. . I will admit to ignorence when it comes to your abilities and skills.  - Thu Nov  5 22:32:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hey Ortho. Still need me around? As in this group of yours? - Thu Nov  5 22:33:48 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Once you are able to perform this . . I will tech you more. . I am sorry I don't have any water style to teach you, put I'll look into that - Thu Nov  5 22:34:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I teach all. .  - Thu Nov  5 22:35:31 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I do not with hold my information. .  - Thu Nov  5 22:35:31 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: My nindo is I will be the Shield that defends the weak - Thu Nov  5 22:35:31 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: In my mind, that means impowering the young as well - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Shinobi, Non shinobi - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Well... thank you. - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You are welcome. .  - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You've got a friend in me.  - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . Enjoy. .heh. . I think you are going to do big things in the future.  - Thu Nov  5 22:37:13 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I hope so. - Thu Nov  5 22:38:04 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Later  - Thu Nov  5 22:38:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Bye, Marrisa. - Thu Nov  5 22:38:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: What about your girlfriend, Thaenan? - Thu Nov  5 22:38:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What girlfriend? - Thu Nov  5 22:39:47 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ...Nina? - Thu Nov  5 22:40:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She isn't my girlfriend, never was. - Thu Nov  5 22:40:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Regardless. - Thu Nov  5 22:40:38 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh. - Thu Nov  5 22:40:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: We've grown sick of each other. - Thu Nov  5 22:40:38 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: So you want to leave then? - Thu Nov  5 22:41:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I simply have no reason to be in it as I was before, unless needed. - Thu Nov  5 22:41:29 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: She was your reason? - Thu Nov  5 22:41:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I followed her to you did I not? - Thu Nov  5 22:42:20 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Huh? - Thu Nov  5 22:43:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: When I showed up orignally. - Thu Nov  5 22:43:12 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh, yes. - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Then if you want to leave why not go to Kiri? - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'll only return there once I'm able to lead it myself. - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: You ... wish to challenge Ortho? - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nope. - Thu Nov  5 22:44:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho and I already spoke about it. - Thu Nov  5 22:44:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: If you want to lead it then you ar-oh. - Thu Nov  5 22:44:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Thu Nov  5 22:47:28 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I'm going to go look around. - Thu Nov  5 22:48:19 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well Ortho? - Thu Nov  5 23:00:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well? - Thu Nov  5 23:03:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Do you still need me in this group od yours? - Thu Nov  5 23:04:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: *of - Thu Nov  5 23:04:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You wouldn't be alive if I didn't still needed you. - Thu Nov  5 23:06:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. . . - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well my original reason for being in it. . . - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Is no longer a valid reason. - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And that reason is? - Thu Nov  5 23:10:30 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well, as I told Ume. - Thu Nov  5 23:12:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She and I have difference of opinions. - Thu Nov  5 23:12:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: -omit- - Thu Nov  5 23:13:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: -omit all of that- - Thu Nov  5 23:13:04 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing a bit, he'd look to Ortho, "I orignally joined up because I wanted to be with Nina, but she and I have. . .decided differently on things. I can't take the way she is acting anymore."* - Thu Nov  5 23:13:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Thu Nov  5 23:13:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Could've told you that was going to happen. - Thu Nov  5 23:14:46 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She is but a shell of when I met her. - Thu Nov  5 23:14:46 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She is now too focused on revenge. - Thu Nov  5 23:15:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Against you, and against the weaker genin who couldn't stop you. - Thu Nov  5 23:15:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And she treats me as a tool, and I simply disagree with how depressing she is acting. - Thu Nov  5 23:16:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Basically. - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She told me to leave if I didn't believe in what she believed in. - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Which, I don't. - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What is it she believes in? - Thu Nov  5 23:18:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Your death, and the death of every shinobi who watched Violet die. - Thu Nov  5 23:19:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She is too consumed with anger. - Thu Nov  5 23:19:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She didn't even have any other emotions to note. - Thu Nov  5 23:19:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Haha, my death seems to be sought out by many. Nina is my little sister, but I'll spit on Violet's grave before I submit my actions were wrong. Too much biasism was in Kirigakure and I'm ridding that from the village. - Thu Nov  5 23:22:27 2015
