<br><font color=teal>*Sumie(Ninask115) says: Hmm....? - Fri Oct 30 17:26:36 2015
<br><br><font color=yellow>*Sumie(Ninask115) follow follow? yeeah, that's what she'll do* - Fri Oct 30 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You know Suiton, correct? - Fri Oct 30 17:42:49 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: No, techniques. - Fri Oct 30 17:44:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Is he serious, he knows I can kill him with a flick of my wrist-- right? - Fri Oct 30 17:47:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my, hello guys. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: If I can even poke her frontal lobe she'll be dead. - Sat Dec 12 19:12:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hence why I couldn't stay and fight..It was a little pointless for me to. - Sat Dec 12 19:13:13 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Mm... I don't see the point of fighting her, regardless... - Sat Dec 12 19:13:13 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: I'd feel out of place doing it. - Sat Dec 12 19:14:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed. - Sat Dec 12 19:14:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So damn. . You got one, Tetsumi got one, Kana got one. - Sat Dec 12 19:16:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Where the hell do these beasts come from? - Sat Dec 12 19:16:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: No idea.. - Sat Dec 12 19:18:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm gonna go check up on Rias then lay down for a little. - Sat Dec 12 19:25:10 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: She's here? - Sat Dec 12 19:26:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. - Sat Dec 12 19:26:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed. - Sat Dec 12 19:26:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Did you move her? - Sat Dec 12 19:26:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She's inside my house. - Sat Dec 12 19:26:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: That barrier jutsu might be the best jutsu you taught me. - Sat Dec 12 19:27:44 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Eh.... - Sat Dec 12 19:27:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah, it's pretty good. - Sat Dec 12 19:31:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Now to go. . Kill Rias.. - Sat Dec 12 19:32:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: She never gave me poon.. - Sat Dec 12 19:32:00 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Sigh...... - Sat Dec 12 19:32:51 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: What's wrong? - Sat Dec 12 19:32:51 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Why ya sigh? - Sat Dec 12 19:33:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: ...Mizora, talk. What's wrong. - Sat Dec 12 19:33:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Let's go. - Sat Dec 12 19:47:21 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Yeah. - Sat Dec 12 19:49:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmmmm. - Sat Dec 12 20:04:25 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Marco... - Sat Dec 12 20:04:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhhh Fuji, you umm. - Sat Dec 12 20:04:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Did you forget something? - Sat Dec 12 20:04:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. Kinda. - Sat Dec 12 20:05:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You going to fix it? - Sat Dec 12 20:05:16 2015
<br><br><font color=teal>*Baby(Ninask115) says: Oh yeah Marco, I'm going to try to get enough money for a sword soon. - Sat Dec 12 20:06:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That is one well spoken baby. . . -omit- - Sat Dec 12 20:06:59 2015
<br><br><font color=teal>*Mai(Fat Trel) says: ..... - Sat Dec 12 20:09:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* Hmmmm. - Sat Dec 12 20:12:06 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . .  - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And the quiet game persists. - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: How are you all? - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm good Marco. - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Feeling a bit lazy, but good. - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Bored~.  Looking for Trill or someone to show up. - Sat Dec 12 20:13:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You want more Raiton stuff don't you? - Sat Dec 12 20:14:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That or knejutsu stuff. - Sat Dec 12 20:14:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry bro, I can't help you with either. - Sat Dec 12 20:15:31 2015
<br><br><font color=teal>*Mai(Fat Trel) thinks: Start dating someone and you rarely see them... - Sat Dec 12 20:15:31 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I know but Trill has been slacking with my raiton training. Might need a new teacher. - Sat Dec 12 20:16:22 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mama! Gentle Fiiiist~ - Sat Dec 12 22:32:54 2015
<br><br><font color=teal>*Baby(Ninask115) says: .... - Sat Dec 12 22:32:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We can do some training sweetie. - Sat Dec 12 22:36:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why did you leave my babies unattended. - Sat Dec 12 22:38:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Didn't leave her unattended, what?*> - Sat Dec 12 22:38:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What are you talkin' about? - Sat Dec 12 22:38:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You weren't here when I showed up. - Sat Dec 12 22:38:52 2015
<br><br><font color=teal>*Baby(Ninask115) says: Mama! Up! - Sat Dec 12 22:38:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Miaka. - Sat Dec 12 22:41:26 2015
<br><br><font color=teal>*Baby(Ninask115) says: Hiiii.~ - Sat Dec 12 22:42:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: H-Hi... - Sat Dec 12 22:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Hmm, something is happening in Konoha? - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) whispers: Mommy Gentle fiist~  - Sat Dec 12 22:49:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Right cmon. - Sat Dec 12 22:49:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kana. - Sat Dec 12 22:49:58 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Hello, Avrian. - Sat Dec 12 22:50:49 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Hello, Bryson. - Sat Dec 12 22:50:49 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Cmon Manami. - Sat Dec 12 22:50:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In anycase. I think I have something to do. - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Talk to you later, Rias? And be safe. - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Kana....  - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --Yeah! Stick around Konoha for a bit. - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Why does she want me dead? - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Sat Dec 12 22:51:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nooo clue. - Sat Dec 12 22:52:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Let's go on  a date soon Sanoke. - Sat Dec 12 22:53:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? For sure. Been a little busy with thesechildren. - Sat Dec 12 22:55:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you have someone to babysit? - Sat Dec 12 22:55:05 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: I can babysit! - Sat Dec 12 22:55:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm teaching her too. - Sat Dec 12 22:55:56 2015
<br><br><font color=teal>*Miaka(Ninask115) says: I want train! - Sat Dec 12 22:55:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You mean Miaka? Mmm, I forgot. How far along is she in her training? - Sat Dec 12 22:56:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: If you can help your sister Manami. - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Oh kaay~ - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) thinks: I'll help her into an early grave...I'm the only girl... - Sat Dec 12 23:12:09 2015
<br><br><font color=yellow>*Miaka(Ninask115) blinked a little bit as she heard her mom talking. She didn't know what all of this chakra and such ws, but she tried her hardest anyway. Closing her eyes a little bit, Miaka would slowly try to concentrate her hardest, feeling as if something were going into her eyes as best as she could. However, when nothing happened, she started to throw a tantrum.* - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Thop baby Aki. You have to learn what chakra is first..Momma teach her chakra! - Sat Dec 12 23:26:40 2015
<br><br><font color=yellow>*Miaka(Ninask115) sat there hearing all about this chakra and such and things. Miaka nodded to all of it, even if she didn't really understand it all. She continued to listen to her parents about all of this magica chakra stuff, imagining it all as something mystical and magical. And it was inside of her body! And with it she could do all of this amazing stuff.

Focusing once again, she allowed it all to begin pooling in her eyes, waiting for something to happen with it. She closed her eyes super hard and wished that she may, wish that she might. After a while, it finally happened, her eyes burst open to reveal the Byakugan, letting her see the a whole new world! It kind of amazed her a little bit.* - Sat Dec 12 23:48:51 2015
<br><br><font color=yellow>*Miaka(Ninask115) started walking to her mom, throwing her hands around all willy nilly. "Chakra! Chakra!" It seemed that she was trying to turn things into other things with this chakra of hers.* - Sun Dec 13 00:03:21 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: At five. - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My parents put me in time out. - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Until i activated it. - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, that's a little harsh, don'tcha think? - Sun Dec 13 00:06:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not really. - Sun Dec 13 00:07:37 2015
<br><br><font color=yellow>*Miaka(Ninask115) was still playing around, running over and smacking mommy in the leg. "Chakra!"* - Sun Dec 13 00:35:47 2015
<br><br><font color=yellow>*Miaka(Ninask115) blinked as nothing happened to her, and threw her hand forward again, continuing to yell, "Chakra!"* - Sun Dec 13 00:41:45 2015
<br><br><font color=yellow>*Miaka(Ninask115) frowned a little bit as she walked over to her poppa, trying to turn him into a unicorn instead. Throwing her hand towards him, she'd yell again, "Chakra!"* - Sun Dec 13 01:12:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hey, Taku. - Sun Dec 13 01:13:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Was just teaching your sister gentle fist. - Sun Dec 13 01:13:20 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mama Gentle Fist is punches right?! - Sun Dec 13 01:14:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's palm thrusts. - Sun Dec 13 01:15:53 2015
<br><br><font color=teal>*Hokuma, Taku(Punkamainia) says: Hey. Is Gentle Fist that palm attack you were teaching me earlier? - Sun Dec 13 01:15:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Have you been listening? - Sun Dec 13 01:15:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Sun Dec 13 01:15:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How about you two spar. - Sun Dec 13 01:16:44 2015
<br><br><font color=yellow>*Miaka(Ninask115) felt the warmth of the steam that warmed her, and shook her head. She pointed her hand towards Sanoke again and yelled chakra once more. It as clear that she was trying to turn him into something.* - Sun Dec 13 01:17:36 2015
<br><br><font color=yellow>*Miaka(Ninask115) shoved her arm forwrd once again. "Horsey!" As she said that, she pointed at him again, clearly trying to turn him into a horse? Could chakra even do such a thing!?* - Sun Dec 13 01:19:18 2015
<br><br><font color=yellow>*Miaka(Ninask115) 's eyes widdened as her chakra had turned her dad into an animal. "Horsey!!!" She ran forward and jumped on his back, ready to ride around the house and have a lot of super fun.* - Sun Dec 13 01:35:31 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Oh okay... - Sun Dec 13 01:40:38 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: I want to learn it now! - Sun Dec 13 01:41:29 2015
<br><br><font color=teal>*Miaka(Ninask115) says: W-Wha? - Sun Dec 13 01:53:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do ya? - Sun Dec 13 01:54:17 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Mhm! - Sun Dec 13 01:55:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi baby. - Sun Dec 13 13:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sleep. - Sun Dec 13 13:59:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let's move? - Sun Dec 13 13:59:37 2015
<br><br><font color=yellow>*Miaka(Ninask115) waddled over to her dad as he opened his arms, wrapping her shorter arms around his body the best she could. She had grown a little more in that year, so she was growing up to be quite the young lady, and she was only at the age of four! It was quite amazing that the human body could grow.....but not really.

Her eyes looked up at her dad as he tried to pull back from the hug, throwing her arms up. "I want up!" She always got her way as the younger child, it was just something that happened, even when it was already happening. She didn't realize that she was already up in the air, so maybe she wanted to go up even higher.* - Sun Dec 13 14:02:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: She's so cute. - Sun Dec 13 14:12:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's like me. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Spoiled. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Always getting her way. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Heh. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Such a cutie. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: So she won't be im-- Oh. That. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. She gets that from me. - Sun Dec 13 14:14:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Sun Dec 13 14:17:32 2015
<br><br><font color=teal>*Miaka(Ninask115) says: I want ice cream.~ - Sun Dec 13 14:18:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Let's see. - Sun Dec 13 14:20:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll be right back. - Sun Dec 13 14:24:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi. - Sun Dec 13 14:26:56 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hey Mirai! Came to teach you that techinique. - Sun Dec 13 14:27:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're right on schedule. - Sun Dec 13 14:27:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Thanks for coming over. - Sun Dec 13 14:27:47 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: No problem, I also wanted to thank you on pointing out that black dress for me. It looks amazing, though Mitsu rushed me out on our date. So, I didn't get a chance to wear it. - Sun Dec 13 14:29:29 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hey there Sanoke, and little Miaki~ - Sun Dec 13 14:30:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Miaka* - Sun Dec 13 14:30:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We will be going on a double date soon enough. - Sun Dec 13 14:31:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Wear it then. - Sun Dec 13 14:31:12 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh, did you get that red one I pointed out to you. I thought it look lovely on you. - Sun Dec 13 14:32:03 2015
<br><br><font color=yellow>*Miaka(Ninask115) scooped up some ice cream with her spoon, clearly not being able to use a spoon perfectly just yet. Turning her head towards Mirai and Chikyu, even with her mouth full of the chocolatey sweetness, she'd yell out to them. "I want date too!"* - Sun Dec 13 14:32:03 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hehehe.. you're too little for that Miaka. This is adult stuff.  - Sun Dec 13 14:32:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Date. . ? - Sun Dec 13 14:34:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So should we begin? - Sun Dec 13 14:34:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I'll lock her in the Turtle Oasis.. - Sun Dec 13 14:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: You can't date turtles. - Sun Dec 13 14:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: Thats what you think -omit- - Sun Dec 13 14:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: You know those pervy turtle sages -omit- - Sun Dec 13 14:35:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Sanoke is a pervy turtle sage. - Sun Dec 13 14:38:52 2015
<br><br><font color=yellow>*Miaka(Ninask115) frowned a little as she looked at Sanoke. "I wanna play with mommy too."* - Sun Dec 13 14:40:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Your mother is busy. Let her handle a little training. - Sun Dec 13 14:40:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Sun Dec 13 14:53:23 2015
<br><br><font color=teal>*Miaka(Ninask115) says: .... - Sun Dec 13 15:13:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Miaka! Wanna go see my pet now? - Sun Dec 13 15:14:43 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Mhm! - Sun Dec 13 15:15:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm going to go show her that technique really fast, Mirai! - Sun Dec 13 15:15:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Sun Dec 13 15:15:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Where are you going? - Sun Dec 13 15:18:08 2015
<br><br><font color=yellow>*Miaka(Ninask115) looked up at the giant turtle that came out of nowhere, clapping her hands at it. It was pretty large and out of nowhere, however she clearly was amazed by it. She ran up to it, more of a waddle than a run, and started trying to climb up on it, her body barely even getting a grip on anything. She still, however, tried her best to continue climbing up on it.* - Sun Dec 13 15:28:22 2015
<br><br><font color=teal>*Miaka(Ninask115) says: I want climb! - Sun Dec 13 15:30:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But you can get hurt! Your mom would kill me. - Sun Dec 13 15:31:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Does she like turtles? - Sun Dec 13 15:32:38 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Mhm! Wanna climb!! - Sun Dec 13 15:32:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She takes after her ol' man. - Sun Dec 13 15:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You see that, Miaka? - Sun Dec 13 15:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's possible due to chakra. Cool ain't it? - Sun Dec 13 15:35:12 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Chakra! - Sun Dec 13 15:35:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes chakra. - Sun Dec 13 15:36:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Eh. . I -- should I train her this early? - Sun Dec 13 15:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: SHe's so young. - Sun Dec 13 15:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So, Chikyu. You should see Koji about continuing those ideas you gave me all of those months ago. - Sun Dec 13 15:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They coulda been real fun. - Sun Dec 13 15:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Imagine a the swimsuit competition? Man! Mirai would win that so hard. Or hrm. . Maybe me. - Sun Dec 13 15:39:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You? - Sun Dec 13 15:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: .. - Sun Dec 13 15:40:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You don't think I could? - Sun Dec 13 15:40:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're so in love. - Sun Dec 13 15:43:44 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Climb turtal! - Sun Dec 13 15:44:35 2015
<br><br><font color=yellow>*Miaka(Ninask115) wiggles her arms and legs to show a climbing motion.* - Sun Dec 13 15:45:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hehe... I guess so. - Sun Dec 13 15:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Please. - Sun Dec 13 15:45:26 2015
<br><br><font color=yellow>*Miaka(Ninask115) continues to try and climb while still in Sanoke's hands.* - Sun Dec 13 15:46:17 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: So, Sanoke. You got a fance suit to wear if Mitsu agrees to go on a double date with you and Mirai? - Sun Dec 13 15:48:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? I'll wear my cool black coat. - Sun Dec 13 15:48:51 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Poppa lemme climb! - Sun Dec 13 15:50:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: you can't climb. - Sun Dec 13 15:51:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah! Are you crazy? You'll get yourself hurt. - Sun Dec 13 15:51:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But yeah, man. I really wish the village went through with those ideas. - Sun Dec 13 15:53:07 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well, it especially wouldn't work because theres no way Mirai let you go to a Maid Cafe. - Sun Dec 13 15:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Sun Dec 13 16:01:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She can come too. - Sun Dec 13 16:01:39 2015
<br><br><font color=teal>*Miaka(Ninask115) says: I can come too! - Sun Dec 13 16:02:30 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Mirai, would you like Sanoke being served by beautiful women besides yourself? - Sun Dec 13 16:02:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't mind. - Sun Dec 13 16:03:21 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh wow, wouldn't expect so. Well, guessy ou could enjoy it. - Sun Dec 13 16:05:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's not like I look at anyone romantically except for Mirai. - Sun Dec 13 16:08:28 2015
<br><br><font color=yellow>*Miaka(Ninask115) giggled a little bit as she was tickled, swinging her arms around. "Haha, I'm okay.~"* - Sun Dec 13 16:10:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: She's goodw ith kids. - Sun Dec 13 16:10:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I mean you shouldn't look at other women anyways but I don't know. - Sun Dec 13 16:11:02 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't care if you attend. - Sun Dec 13 16:11:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wanna hold her? - Sun Dec 13 16:13:36 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Want, me to hold you Miaka? - Sun Dec 13 16:14:27 2015
<br><br><font color=yellow>*Miaka(Ninask115) puts her hands up.* - Sun Dec 13 16:17:00 2015
<br><br><font color=yellow>*Miaka(Ninask115) felt her body getting bounced up and down as she was lifted up, giggling loudly. She pushed her hands forward to play in Chikyu's hair, even with her little hands. She wasn't a bad kid either, so there wasn't any pulling or yanking.* - Sun Dec 13 16:23:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Today is very unlively. . Even if I did go to save the village. - Sun Dec 13 16:25:32 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh it was you who stopped them this morning. I was  sitting out near the training grounds when the attack happened. I was sure you or Ai would stop them. - Sun Dec 13 16:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. I should have tried harder. Next time, I'll use shadow clones. - Sun Dec 13 16:28:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And just absorb all of her ninjutsu. - Sun Dec 13 16:28:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Sun Dec 13 16:32:22 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hmm? - Sun Dec 13 16:38:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's nothing. - Sun Dec 13 16:50:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So what did you say to Kana ? - Sun Dec 13 16:51:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That I had to take her in. - Sun Dec 13 17:08:12 2015
