<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh? - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So I asked you why you lusted after me. - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why do you -like- me? - Tue Dec  1 21:38:20 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) lowered his head.* - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Yeah. - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I don't know if it's even 'like' anymore. - Tue Dec  1 21:39:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Or even 'lust'. - Tue Dec  1 21:39:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Then what is it? - Tue Dec  1 21:39:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Is there a level between 'like' and 'love'? - Tue Dec  1 21:39:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: If so, I'm there. - Tue Dec  1 21:39:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And.. 'lust'.. is just me wanting you.. - Tue Dec  1 21:40:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm starting to feel like I.. 'need'.. you. - Tue Dec  1 21:40:03 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) runs his hand over his face.* - Tue Dec  1 21:40:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ughh.. - Tue Dec  1 21:40:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Look.. - Tue Dec  1 21:40:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Let's.. just.. - Tue Dec  1 21:40:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Forget.. I said that. - Tue Dec  1 21:40:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: How can you be -there-? Already? - Tue Dec  1 21:40:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I want to give you a straight answer, but I don't have one. - Tue Dec  1 21:41:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It just.. happened. - Tue Dec  1 21:41:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But you hardly know me...hah. - Tue Dec  1 21:43:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: True.. - Tue Dec  1 21:44:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But I'm willing to do a lot.. for you. - Tue Dec  1 21:44:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm a fuck up.. just want you to know I'm not a waste of time. - Tue Dec  1 21:45:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...You aren't a fuck up. - Tue Dec  1 21:54:33 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) chuckled and shook his head.* - Tue Dec  1 21:57:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Come now, Kariudo.. - Tue Dec  1 21:57:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What? - Tue Dec  1 21:57:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You can't put up that front, babe. - Tue Dec  1 21:58:49 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We both know I am. - Tue Dec  1 21:58:49 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: No way around it. - Tue Dec  1 21:58:49 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sighed. He shakes his head a bit and smirked, "you're lucky. You're getting away from me so my fuck up'ness wo't rub off on you."* - Tue Dec  1 22:03:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Getting away from you? - Tue Dec  1 22:04:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mhm. - Tue Dec  1 22:06:30 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) is sitting on the edge of the bed with Kari next to him. They just talking.* - Tue Dec  1 22:09:04 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: .... - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Any of you..see..Eiyu? - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No. - Tue Dec  1 22:10:46 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Tue Dec  1 22:11:37 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: I...see... - Tue Dec  1 22:11:37 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Tue Dec  1 22:11:37 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Sorry..to interrupt. - Tue Dec  1 22:11:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... - Tue Dec  1 22:12:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I feel like rumors are going to start to spread. - Tue Dec  1 22:12:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why are you still in the hospital even? - Tue Dec  1 22:12:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I don't know. - Tue Dec  1 22:20:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: My testing are done. - Tue Dec  1 22:20:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Maybe the free food and air conditioning? - Tue Dec  1 22:21:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...oh. - Tue Dec  1 22:22:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Plus.. asking you to come over my house might go against your rules. - Tue Dec  1 22:22:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I can go to your house? - Tue Dec  1 22:23:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But I really do need to leave. - Tue Dec  1 22:23:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm going to ignore that question. - Tue Dec  1 22:26:59 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) pushed off the bed and stretches, "yeah. You and I both."* - Tue Dec  1 22:26:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...It was rehtorical. - Tue Dec  1 22:27:50 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) shrugged, "aww so you 'do' want to see me again? I mean after w slept in the same bed and all? Maybe next time I'll marry you and put your precious heart at ease." He teasingly sticks his tongue out and smiled. "But.. yes.. Till then.~'* - Tue Dec  1 22:30:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: we* - Tue Dec  1 22:30:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes widened a bit, "well then." He nods and walks over to the chesterdraw. He grabs a black tanktop and placed it. "Oi, listen. Next.. Leave your clothes at the door. Only fair.~"* - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  1 22:38:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Does that upset you? - Tue Dec  1 22:38:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't believe in marriage. - Tue Dec  1 22:38:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Nope. - Tue Dec  1 22:39:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It's one of those things where if it happens, great. If it don't, oh well. - Tue Dec  1 22:39:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well good, I find it pointless. - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: 'Good'? - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why is that good? - Tue Dec  1 22:41:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why do I CARE what he likes about it. - Tue Dec  1 22:41:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) had a slightly shocked expression. "You think so?"* - Tue Dec  1 22:43:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yeah. - Tue Dec  1 22:44:03 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) shrugged. "Alright. Then we'll go with that. We won't get married."* - Tue Dec  1 22:44:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Tue Dec  1 22:45:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Remember to write me yeah? You said you would and then neve did. - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh? Alright, I promise this time. I got you. - Tue Dec  1 22:46:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) gathered together a few bandages and wrapping it around his arms. "Not even a kiss goodbye? Sheesh, 'babe'. You're sooo very loving.~" He sticks his tongue out then subtly wave. "See ya."* - Tue Dec  1 22:49:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Tue Dec  1 22:50:01 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) turns and faces the chesterdraw, allowing her to leave. He still try to cop a sight at that ass though.* - Tue Dec  1 22:50:52 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: i know that tomk =/= gromp - Wed Dec  2 01:56:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello. - Wed Dec  2 04:27:05 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Evening. - Wed Dec  2 04:27:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What is your name? - Wed Dec  2 04:27:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: My name is Alberto. - Wed Dec  2 04:27:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Wed Dec  2 04:27:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Rio. - Wed Dec  2 04:27:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..... - Wed Dec  2 04:27:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Just going to call you Bert. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Please don't. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: RIo. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: My name is Alberto. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Rio then. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Rio. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: No.. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yeah, but my a key is broken so fuck that. - Wed Dec  2 04:28:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..grr. - Wed Dec  2 04:29:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Fine. - Wed Dec  2 04:29:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You a shinobi? Given the way you look, I'd assume so. - Wed Dec  2 04:29:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Call me Sogeki. - Wed Dec  2 04:29:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sogeki, got it. - Wed Dec  2 04:29:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I am a shinobi. - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ready to do some missions? - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: You'd think the Raikage would know his own- - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Nope. - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Not yet. - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tch, what are you waiting on? - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Need to hone in on my techniques first. - Wed Dec  2 04:30:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Efficiency over Haste. - Wed Dec  2 04:31:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I guess if you look at it that way. - Wed Dec  2 04:31:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Still, missions are an essential part to Kumogakure's progression. - Wed Dec  2 04:31:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I agree. I will be a major factor in its progression when I am of complete use rather than selective missions. - Wed Dec  2 04:32:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see... - Wed Dec  2 04:32:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well, at least you're driven to improve. - Wed Dec  2 04:33:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Unlike less... - Wed Dec  2 04:33:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Motivated members....... - Wed Dec  2 04:33:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have someone to catch up to. - Wed Dec  2 04:33:04 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looks down, "she left me behind."* - Wed Dec  2 04:33:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...Er..I'm sorry...  - Wed Dec  2 04:33:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In death? - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Nah. - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: She's on one of your.. extended.. missions. - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Wouldn't tell me the details. - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just told me that she'll be gone for a while. - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Made me feel like I'm not strong enough to 'hang' with here. - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: her* - Wed Dec  2 04:33:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kari-Chan. - Wed Dec  2 04:33:55 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded* - Wed Dec  2 04:34:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Were you the guy that tried killing her, and then yourself? - Wed Dec  2 04:34:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I am, yes. - Wed Dec  2 04:34:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What happened? - Wed Dec  2 04:34:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm of no use. I tried to anger her to the point she believed that I was attempting to end her life.. then she can kill me. - Wed Dec  2 04:34:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And it'll look like she was protecting herself. - Wed Dec  2 04:35:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Which.. she really was.. - Wed Dec  2 04:35:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But when her morals kicked in and she chose not to kill me.. - Wed Dec  2 04:35:37 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .  . . Why would you do that to yourself? What do you mean you're of no use!? - Wed Dec  2 04:35:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) kept his eyes diverted away frm Eiyu. "The first time you and I met.. you yelled at me and gave this speech.. basically said compared to what you're doing for the village, I'm nothing."* - Wed Dec  2 04:36:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) kept his head lowered and gaze away. The words of Eiyu sunk in deep, but that level of doubt and denial still existed. He sighs in an attemp to release all rebuttal for Eiyu and simply nodded. "Understood, sir.. Forgive me."* - Wed Dec  2 04:40:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell me... - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why is it that you feel this way? - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Bow, Arrow and Poison. - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That's what I use to fight. - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: In the academy it was viewed as something great.. - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But now..? - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm useless. - Wed Dec  2 04:41:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No, no. - Wed Dec  2 04:42:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If that's the case. - Wed Dec  2 04:42:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It should give you further incentive to be the -best- at what you do. - Wed Dec  2 04:42:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell me.... - Wed Dec  2 04:42:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Do you know of the affinities you posses? - Wed Dec  2 04:42:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Imagine an arrow imbued with lightning chakra.... Or Fire.... - Wed Dec  2 04:43:18 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) bites down on his lower lip. "I possess the lightning and earth chakra affinities."* - Wed Dec  2 04:44:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I've thought of added lightning, but was shot down. - Wed Dec  2 04:44:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Said it was stupid then.. - Wed Dec  2 04:44:09 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) pointed to his black eye, raising his head a bit.* - Wed Dec  2 04:44:09 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) placed his gaze back on the ground and listened to what the Raikage had to say. It was clear that the words were cheering Sogeki up, but at the end of the day it was a matter of what Sogeki has been through and is currently experiencing.

"I understand sir."* - Wed Dec  2 04:54:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I think once. - Wed Dec  2 04:54:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You start doing missions, and -seeing- your impact. - Wed Dec  2 04:54:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You will become more confident. - Wed Dec  2 04:54:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded his head once more, "yes sir. I trust your judgement." He bows slightly and keeps his eyes focused on the ground, refusing to make eye contact with the Raikage.* - Wed Dec  2 05:03:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Things will get better. - Wed Dec  2 05:10:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I promise. - Wed Dec  2 05:10:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) lifted is head, "I'll.. try.. I promise, sir.."* - Wed Dec  2 05:12:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...No, you will do so. - Wed Dec  2 05:12:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ---! - Wed Dec  2 05:18:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Y-Yes, sir! - Wed Dec  2 05:18:17 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) clenched his fists and nodded, "I-I will!"* - Wed Dec  2 05:18:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: W- - Wed Dec  2 05:20:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Here before the teacher.. - Wed Dec  2 05:20:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: May.. I ask you a question, sir? - Wed Dec  2 05:50:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Takuma-San. - Wed Dec  2 05:51:34 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello. - Wed Dec  2 05:52:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Wed Dec  2 05:52:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey. - Wed Dec  2 05:52:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello, forgive me for my. - Wed Dec  2 05:52:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Lack of presence lately.. I've fallen ill. - Wed Dec  2 05:53:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: However. - Wed Dec  2 05:53:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I need you to do some missions. - Wed Dec  2 05:53:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Some guy came in the village, he's related to Niklaus. . .Thought I'd let you know. - Wed Dec  2 05:53:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sounds distasteful. - Wed Dec  2 05:54:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Is he still here? - Wed Dec  2 05:54:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No idea. - Wed Dec  2 05:54:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He was waiting in the mansion for you, but I don't think he's there anymore. - Wed Dec  2 05:54:59 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Youve made it just in time for missions! - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Takuma.. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I would like my rematch.. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Later. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Okay. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I got missions to do now. . Son of a bitch. - Wed Dec  2 05:56:41 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) waits a few seconds.

"It's later."* - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Akito(Iron Zorro) thinks: You had this coming. - Wed Dec  2 05:57:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ------ - Wed Dec  2 05:57:32 2015
<br><br><font color=teal>*Akito(Iron Zorro) thinks: Keep telling people about my abilities. - Wed Dec  2 05:57:32 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) grabbed for his bow.* - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It'll be on Takuma's tab. - Wed Dec  2 05:59:15 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  2 05:59:15 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Wed Dec  2 05:59:15 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Next time.. you decide...to tell people...that I can teach them...anything..it will be much worse..than just a missed punch.. - Wed Dec  2 06:00:06 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes narrowed on Akiro.* - Wed Dec  2 06:00:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ..How.. dare he attack.. - Wed Dec  2 06:00:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: The Raikage.. - Wed Dec  2 06:00:06 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Hm. . . . - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I haven't seen Eiji in awhile. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Or Akarui. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: What if she commited suicde? - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: That'd suck. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: All well, none of my business. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Now.. give..me the missions...so that I can get out of here.. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .I THOUGHT YOU DISLIKED MISSIONS! - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see... - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You're changing. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm proud. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ....... - Wed Dec  2 06:01:48 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sniped that nigga.* - Wed Dec  2 06:12:54 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's stroll came to an halt. His eyes fixate on the Uchiha before him and examines the males' frame. "It's been a while.."* - Wed Dec  2 06:16:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) left.* - Wed Dec  2 06:20:35 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Damn...I need to get some sleep... - Wed Dec  2 06:25:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: FUCK HER IN THE PUSSY! - Wed Dec  2 17:55:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's time to eat the booty. - Wed Dec  2 19:45:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) is currently chilling at the side of the mountain with his arms folded across his chest, head lowered and eyes subtly shut.* - Wed Dec  2 19:50:24 2015
