<br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yeah. - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Let me tell you a story. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: There was once a man, and do you know what he told me? - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, what was it that he told you? - Wed Oct  7 01:23:37 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: He told me  You only have two things in this world: loyalty and honesty. Loyalty to one another and loyalty to your own cause, honesty to the ones you're loyal to, and honesty to yourself that your cause is what's best for you. Stitch these words into your head. They will help you find your way."  - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: That man. Who fell today. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Was neither of those. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So you're saying people who don't fit into that category are free to die? - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: They are free to not get in my way of what I am owed. - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You understand by living such a way, you cause more problems down the line? - Wed Oct  7 01:26:11 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) walks on through.* - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: I only need to fix my own. - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But your methods lead only to violence.  Won't you consider a different way? Taking his life wasn't needed. - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm sure you could have obtained what you wanted through conversation rather than violence. - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Had you been here. You'd have realized I was conversing with him for some time beforehand. I even completed a task for him, in which he said he'd give me what I wanted. - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Koji. - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: He lied. - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ..... - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: And so this happened? - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: And so it happened. - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Wed Oct  7 01:29:36 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) SHINRA TENSION* - Wed Oct  7 01:30:27 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) says: .... - Wed Oct  7 01:32:09 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) thinks: T-They're all fighting? - Wed Oct  7 01:33:52 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: This table smells bad. - Wed Oct  7 01:37:16 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) thinks: I can't really see anything..uhm...I wonder what's going on.. - Wed Oct  7 01:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ?_ - Wed Oct  7 01:43:15 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: There is no honor in being in someones way.. please do dust yourself off and let me pass. - Wed Oct  7 01:48:22 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: . . . . - Wed Oct  7 01:49:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Yet you're in our village, kage-sama.  - Wed Oct  7 01:49:13 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: I'm afraid I'm just visiting until I decide how to handle the reparations of Konohagakure. Thank you for moving. - Wed Oct  7 01:50:04 2015
<br><br><font color=teal>*Reguel(Airide) says: As long as you don't need a medic. - Wed Oct  7 01:50:04 2015
<br><br><font color=teal>*Reguel(Airide) says: I won't be a problem. - Wed Oct  7 01:50:04 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) says: ... - Wed Oct  7 01:51:47 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) says: He...Ignored me..Meanie.. - Wed Oct  7 01:51:47 2015
<br><br><font color=teal>*Reguel(Airide) says: Oi just bring him near me, I can heal him. - Wed Oct  7 02:18:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He has lost some blood. - Wed Oct  7 02:19:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You can help me carry him. - Wed Oct  7 02:19:05 2015
<br><br><font color=teal>*Reguel(Airide) says: Right. - Wed Oct  7 02:19:05 2015
<br><br><font color=teal>*Reguel(Airide) says: Kuro mind heling? - Wed Oct  7 02:19:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Wed Oct  7 02:39:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How bad did this little fight get..? - Wed Oct  7 02:39:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sabo can you come explain - Wed Oct  7 02:43:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How such a small fight - Wed Oct  7 02:44:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ended in such a bloody mess - Wed Oct  7 02:44:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ask Suitengu. - Wed Oct  7 02:44:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I merely came to help a friend. - Wed Oct  7 02:45:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I would ask him but he ran off with Ortho - Wed Oct  7 02:48:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't know where they went. - Wed Oct  7 02:48:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Then I suppose your answer will wait. - Wed Oct  7 02:48:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Indeed. - Wed Oct  7 02:48:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How have you been? - Wed Oct  7 02:48:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: To be honest, more than excellent. - Wed Oct  7 02:49:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'm a new man today. - Wed Oct  7 02:49:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh? Interesting. - Wed Oct  7 02:50:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Care to elaborate? - Wed Oct  7 02:50:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I made a promise. - Wed Oct  7 02:50:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Can't say. - Wed Oct  7 02:50:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see well if it's a promise, Feel no obligation to tell me. - Wed Oct  7 02:51:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Either way, I'm glad things are going good for you. - Wed Oct  7 02:51:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So are you going to be staying around here? - Wed Oct  7 02:53:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or will you be going again soon? - Wed Oct  7 02:53:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll  be staying a bit. - Wed Oct  7 02:53:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Within a month I'll be leaving though. - Wed Oct  7 02:54:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Who knows if I'll return. - Wed Oct  7 02:54:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, I hope to see you as much as I can during that month, I do enjoy your company. - Wed Oct  7 02:54:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Glad to hear such. - Wed Oct  7 02:54:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I enjoy yours as well. - Wed Oct  7 02:54:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Glad to hear it. - Wed Oct  7 02:55:47 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) sits on Sabo's lap.* - Wed Oct  7 03:12:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Oh. - Wed Oct  7 03:14:33 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I was wondering where you'd went. - Wed Oct  7 03:14:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: I was doing some stuff was all. - Wed Oct  7 03:16:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hrkk.. - Wed Oct  7 03:17:07 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I see. Well, it's good to see you. - Wed Oct  7 03:17:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Mhm, same. - Wed Oct  7 03:17:07 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: So, what shall I do for my queen? - Wed Oct  7 03:35:02 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Hmmm, Nothing so far. . . - Wed Oct  7 03:37:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Just do as you were doing. - Wed Oct  7 03:37:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Hm. . A queen needs a crown though . . - Wed Oct  7 03:38:27 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I see...I'll purchase one for you...unless you wish for it to be obtained in some other fashion? - Wed Oct  7 03:39:18 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Purchasing just a simple crown wouldn't do for a Queen!.. .  but then I don't know what other fashion in which one could be obtained. - Wed Oct  7 03:39:18 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Unless there's some mysterious special crown in the world. - Wed Oct  7 03:39:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Hm....I'll look into it for you. - Wed Oct  7 03:40:09 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Okay, thanks. - Wed Oct  7 03:40:09 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: m. . . ."H - Wed Oct  7 03:41:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Hm* - Wed Oct  7 03:41:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hey there... - Wed Oct  7 05:03:47 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: --Hi. - Wed Oct  7 05:05:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How are you? - Wed Oct  7 05:07:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Misa. - Wed Oct  7 05:07:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi Mammy, want to eat something? - Wed Oct  7 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Huh? - Wed Oct  7 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh, sure. - Wed Oct  7 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What did you want to eat? - Wed Oct  7 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh. - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Like... - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's a sweet ball. - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: With a soft texture. - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm fine. . - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: you want me to eat your sweet balls? - Wed Oct  7 05:12:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Now, these wont kill me right? - Wed Oct  7 05:15:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Of course not. - Wed Oct  7 05:16:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: As long as you don't choke on them. - Wed Oct  7 05:16:35 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Course..Course.. - Wed Oct  7 05:16:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm not as hungry as I thought I was. - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So I'll refrain from ordering. - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh, well then...Do you want to split the last Dorangano? Doringo....Durangu? - Wed Oct  7 05:36:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Dango. - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I mean, sure. - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How will we split it? - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ugh, do you have a knife or something? - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: o. - Wed Oct  7 05:39:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't have Chiharu on me. - Wed Oct  7 05:39:37 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You don't have a weapon other than Chiaharu? - Wed Oct  7 05:39:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No. - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't. - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ,,..... - Wed Oct  7 05:43:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So... - Wed Oct  7 05:46:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You wanna just... - Wed Oct  7 05:46:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Bite it off? - Wed Oct  7 05:46:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Wed Oct  7 05:48:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You want me to bite the ball? - Wed Oct  7 05:48:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd bite the other end. - Wed Oct  7 05:48:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Sure why not. - Wed Oct  7 05:49:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (hi bradely) - Wed Oct  7 14:55:08 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) drops pants for the ortho* - Wed Oct  7 15:03:40 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) moan, golden stick yum* - Wed Oct  7 15:03:40 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) yay* - Wed Oct  7 15:04:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: produces the platinum liquid. - Wed Oct  7 15:04:32 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) is the vessel of platinum liquid uguu* - Wed Oct  7 15:05:23 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) gives da ortho the sandwitch* - Wed Oct  7 15:05:23 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) doki doki* - Wed Oct  7 15:06:14 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) kyaa* - Wed Oct  7 15:06:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh, Hello there. - Wed Oct  7 15:10:30 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi. - Wed Oct  7 15:12:12 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) would extend a single hand to wrap it gently around Cypher's own, shaking it slowly. "I'm Gene, nice to meet you."* - Wed Oct  7 15:13:55 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) proceeded to nod, there is indeed no headband on her person. "Yes, I am a villager."* - Wed Oct  7 15:17:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see, What do you do for a living? - Wed Oct  7 15:18:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I've study, and done medical related stuff. - Wed Oct  7 15:18:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is that so? - Wed Oct  7 15:18:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Are you skilled? - Wed Oct  7 15:19:02 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'd like to believe so. - Wed Oct  7 15:19:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 15:20:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I am of the same breed, mor or less. - Wed Oct  7 15:30:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: moew* - Wed Oct  7 15:30:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: More* - Wed Oct  7 15:30:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Moew..? I'm guessing you're Yuuto reincarnated.. - Wed Oct  7 15:30:59 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What do you specialize in? - Wed Oct  7 15:31:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: All elements. - Wed Oct  7 15:32:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm? - Wed Oct  7 15:32:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Any wind Techniques? - Wed Oct  7 15:32:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Not as of yet. - Wed Oct  7 15:37:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Gene-chan. - Wed Oct  7 15:41:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is it possible to change someone's eye color? - Wed Oct  7 15:41:13 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yes. - Wed Oct  7 15:41:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Really? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well then, You learn something new every day. - Wed Oct  7 15:52:19 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh, it's possible. - Wed Oct  7 15:56:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sounds good. - Wed Oct  7 15:56:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo'. - Wed Oct  7 16:11:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Wed Oct  7 16:18:46 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ....? - Wed Oct  7 16:19:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Wed Oct  7 16:19:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nothing of importance. - Wed Oct  7 16:24:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Right. - Wed Oct  7 16:27:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. Gene. I have to talk to you both in a bit. - Wed Oct  7 17:00:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Huh? Okay. - Wed Oct  7 17:01:26 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Okay. - Wed Oct  7 17:02:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 17:03:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's go get some food..  - Wed Oct  7 17:05:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Come. - Wed Oct  7 17:05:42 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) follows - grab me-* - Wed Oct  7 17:07:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Go ahead and sit with your sister. - Wed Oct  7 17:09:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I just wanted to get your view-points on .. - Wed Oct  7 17:15:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -If- the time comes. - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . .? - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well. - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: There is talk of a Coup De Etat... - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But as loyal shinobi.. - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't want that. - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I just want the both of you to remember to be loyal to the Raikage. - Wed Oct  7 17:16:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No matter what you hear. - Wed Oct  7 17:17:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Or what happens in the future. - Wed Oct  7 17:17:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Do you understand? - Wed Oct  7 17:17:39 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Uh huh. . . - Wed Oct  7 17:17:39 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yes. .  - Wed Oct  7 17:17:39 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: He's fine. . . If I recall. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I see.... - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: There are too many outsiders here. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Call me Xenophobic. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But I hope this is changed. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm going to train with you. - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Gene, is there anything you can do about my right arm? - Wed Oct  7 17:23:37 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Alright.. - Wed Oct  7 17:25:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hm. . . - Wed Oct  7 17:26:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* This is going to be a bit difficult. - Wed Oct  7 17:26:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: It can be fixed. - Wed Oct  7 17:26:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I see.. - Wed Oct  7 17:27:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: For now I'll only be able to use my left hand. - Wed Oct  7 17:27:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My feet as well. - Wed Oct  7 17:27:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It should be enough. - Wed Oct  7 17:27:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's go outside. - Wed Oct  7 17:27:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not hungry. - Wed Oct  7 17:27:53 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) would follow -grab me-* - Wed Oct  7 17:28:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We'll pick up everything in a bit. - Wed Oct  7 17:30:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raikage-Sama. - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is there any missions that I can do? My sisters as well? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cool, I'll take anything you have. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: There was a blonde haired male from Kirigakue. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He had a strange blade. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He is dead. - Wed Oct  7 17:41:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Killed in Kumogakure. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....And the whereabouts of their body is...? - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: By a child. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I do not. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But he had a red eye. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: His blade. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Describe it for me. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Wrapped in bandages. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ----- - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Thank you for informing me. - Wed Oct  7 17:42:24 2015
