<br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well... You could help me Iza?.. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And knowing you, you're strong enough to kick my ass - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No no. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm Konohamaru, after all. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not strong. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And help you with what? - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm...What we left off last time. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh yeah Iza. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Iza, why are you here? - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you in like 3 maybe four years top. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: trill*> - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't worry..she won't. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But you should get to wherever you need to be Trilliam. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where does he need to go? - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh thats the thing. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: ONe of you either Koji you or tetsu is supposed to take me. - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji!!!! - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, but... - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam come on over. - Sun Nov  8 05:13:10 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Sun Nov  8 05:13:10 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) drags on his blunt, the cherry light as a thin roll of smoke lifted from it. * - Sun Nov  8 05:16:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, did you want to spar? - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can put this blunt away... - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh...he's standing right there. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I'm an idiot. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lemme' help my brother out first. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And... - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're going to jail...? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did you do? - Sun Nov  8 05:19:08 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) eyes Yoko intensely.* - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well I was lied upon you know my special scrool your farther took one and unsealed it. - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How long are you going to be in jail? - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: 3 years. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then I will be placed on 5 years probation. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Isn't that a bit unfair..? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sooooo I wont be done with this ordeal till im as old as Marrisa. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did you talk to grandpa? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It is but there is nothing I can do Gramps demands it. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Thats who sentecedme. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He's doing this because the person who died frineds want me borught to justice likeits my fault - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Completely. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: YOu know how people harbour hate and ill will and balh blah blah. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So Iza do me a favor watch over my shop. - Sun Nov  8 05:24:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) is in front of her, but, it's irrelevant.* - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and kick your dad in his butt for me Kay. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Aiight lets get going. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why does someone who looks ten have their own shop? - Sun Nov  8 05:26:49 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) coughs lightly as he blows out some more smoke. He had taken in enough that the euphoric effects of the herb would encumber his senses. He'd smush the cherry between two fingers before placing it within a special spot of his satchel. "Yeah, you guys better get going," He'd say, hoping that Trilliam's departure would lighten the mood.* - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You can relax now, Yoko. - Sun Nov  8 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Urgh.. - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh..*glances at Tetsumi* - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where did we leave off at? - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh... - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm... well.. The begining? - Sun Nov  8 05:32:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe...*nervous laugh* - Sun Nov  8 05:33:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Trilliam is no enemy. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You are more of an enemy then trilliam is. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Iza...now, now. Yoko is obviously new around here and she doesn't realize the situation surrounding why Trilliam is going away. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam messed up, but he's not a bad guy. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He just made a mistake he has to atone for. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What's going on here now? - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: DEEZNUTS - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nothing special. - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....*cough* - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *Football Punts Izanami* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora. It's been a while since I've asked for something like this, but I would like you to teach me your genjutsu interrogation technique. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: For a criminal, they were lax about detaining him.  - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: oh. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Of course.. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Seems like I am naked. - Sun Nov  8 05:37:04 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods.* - Sun Nov  8 05:37:55 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I found a really cool mask. - Sun Nov  8 05:38:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Whenever you are ready, then. - Sun Nov  8 05:41:20 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would follow. (grab...i can't follow anyone in the lag i have.* - Sun Nov  8 05:43:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We can go to my house... - Sun Nov  8 05:48:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 05:48:09 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) entered the home behind Fujitora. He looked around, having never been in Fujitora's home. In fact, he felt rather awkward at the moment and that may be sensed.* - Sun Nov  8 05:48:09 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) listened to the nature of the technique. He had seen it more than a few times throughout his experience at a shinobi, yet he hadn't really put forth effort into learning the technique until he realized more and more that it would be necessary. There were many situations in which he had to call upon other shinobi to do this, and after today, he would be able to do this one his own. 

That being said, once Fujitora explained in length--all the while with Yan absorbing the knowledge--the konohamaru-tier ninja would nod firmly and form a T with his hand. With that, his chakra would be kneaded and molded into the correct form before expelled so that liquid earth would spill from his mouth. Before landing, it would harden and construct into a clone of Yan.
* - Sun Nov  8 06:05:13 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) With the information he had been given, Yan looked upon the clone who had positioned himself before him. Utilizing his already somewhat extensive knowledge in genjutsu, Yan would push lock eyes with the clone. Like other low-level genjutsu, Yan would simply attempt to project his chakra into the clone and disrupt his chakra flow forcibly.  In his attempt to successfully induce the clone before him within a genjutsu, it seemed as though Yan misplaced some of the components of the genjutsu and therefore it was chalked up to a failed attempt.* - Sun Nov  8 06:05:13 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) didn't say a word. Obviously, one could not acquire knowledge of an illusionary technique and master it at their first attempt unless it was a field in which their life was dedicated. That being said he wasn't all that deterred in his will to learn the technique at his first failure. Yan would again lock eyes with the clone before him and attempt to disrupt the flow of chakra within the clone through introducing his into the circulatory system. It would be but a brief moment before Yan would realize that yet again he had failed to capture the clone within the interrogation genjutsu--yet he felt he was close.* - Sun Nov  8 06:05:13 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) "......I think I got it," he'd say aloud. After all, Fujitora was awaiting results. Yan centered his focus, and trained his mind, upon the task which he was given to perform. He called upon the epitome of his skill, pushing his wealth of chakra upont he clone who was at the whim of his abilities. He could feel the clone give into his will, thus captured within the genjutsu. With that being said, he would delve into memories that were already known to him yet he could feel them being extracted from the clone, as though new information collected.* - Sun Nov  8 06:06:04 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods. "Thanks." He'd say before following him out. He had no idea about Yoko.* - Sun Nov  8 06:09:29 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) simply takes a seat on the bench. He would ponder some things, fingering his satchel as he thought about smoking some weed.* - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tree almighty? - Sun Nov  8 06:33:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Somethin' wrong, folks? - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi Oi. - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'unno. This odd chick comes up to me, - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Asks me for sex, - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And then starts moving back. - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Get some clothes on or be jailed. - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I won't repeat myself, so you should get going. - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: No money, bro. - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I am a homeless bum~. - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: I should cut his throat for saying such disturbing things. - Sun Nov  8 06:39:21 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: With a cool mask. - Sun Nov  8 06:39:21 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Ah, so he's homeless. I suppose no one will miss him. - Sun Nov  8 06:39:21 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh, - Sun Nov  8 06:40:12 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: I wonder if there's a bakery around here... - Sun Nov  8 06:40:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And I know Koji. - Sun Nov  8 06:40:12 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) tosses him a sack of yen. "Here's 500 yen. If I see you naked again, you'll find yourself sharing cells with murderers and rapists." He'd say.* - Sun Nov  8 06:40:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Sir, is that a sexua-- Money. - Sun Nov  8 06:40:12 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: Murders who are also rapists? Wow....what a combination... - Sun Nov  8 06:41:04 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: Murderers* - Sun Nov  8 06:41:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Excuse me. - Sun Nov  8 06:41:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ..... - Sun Nov  8 06:41:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yoko, you are a little over-aggressive. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yep yep. Tryna' pass, ma'am. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Excuse the man so he can go ahead and go to the clothing store. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What's going on? - Sun Nov  8 06:47:53 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Just leave, guy. - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: This lady wants me to have her sword, at the wrong end. - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Excuse me, other ma'am. - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..? - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . .  - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I need to keep an eye on this woman. - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I should use this money on a hooker. - Sun Nov  8 06:49:36 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hooker? - Sun Nov  8 06:49:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yoko, would you like to let some steam out in a spar? - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm nothing great myself. - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi..yan.. - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: Very well. - Sun Nov  8 06:53:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hello Momura. - Sun Nov  8 06:53:00 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded. The Konohamaru-tier ninja would enter the grounds of the training field, positioning himself appropriately.* - Sun Nov  8 06:53:52 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) fell into a sparring stance with his feet shoulder-distance and his hands before his form--suspended and an inch apart chest-level.* - Sun Nov  8 06:54:43 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 06:55:34 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What's happening? - Sun Nov  8 06:55:34 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) felt her eyes upon him, moreso than the simple act of it, as she analyzed both his form and stance. Many had seen Yan battle before, and he didn't change it up often. Nevertheless, he formed a single seal. With that said, the girl would soon see a clone of Yan approach from behind at the corner of her eye. As soon as she turned her head, another would materialize and attack from where she was facing originally. Likewise, numerous other clones would appear from the wood work.

Meanwhile, Yan remained where he was and formed yet another seal, kneading his chakra in preparation.* - Sun Nov  8 07:03:15 2015
<br><br><font color=teal>*IsaidIwasgoingtochangemyname(Dragonfile) says: Get - - Sun Nov  8 07:09:13 2015
<br><br><font color=teal>*IsaidIwasgoingtochangemyname(Dragonfile) says: WOOOOOOOOOOW - Sun Nov  8 07:09:13 2015
<br><br><font color=teal>*IsaidIwasgoingtochangemyname(Dragonfile) says: WHaT THE FUCK - Sun Nov  8 07:09:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi! - Sun Nov  8 07:15:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Person who doesn't have sasuage! - Sun Nov  8 07:15:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Your pretty cool! - Sun Nov  8 07:15:12 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) felt her eyes upon him, moreso than the simple act of it, as she analyzed both his form and stance. Many had seen Yan battle before, and he didn't change it up often. Nevertheless, he formed a single seal. With that said, the girl would soon see a clone of Yan approach from behind at the corner of her eye. As soon as she turned her head, another would materialize and attack from where she was facing originally. Likewise, numerous other clones would appear from the wood work.

Meanwhile, Yan remained where he was and formed yet another seal, kneading his chakra in preparation. In response to the technique coming into fruition, two plumes of smoke ignited on either side of him. Within the veil of smoke, soon revealed within the billowing clouds that would dissipate upon expansion, two shadow clones rested within.

He'd nod to them, and they would nod to him. The smoke would be utilized in his own advantage as well, unless she held a doujutsu to see through the smoke which Yan himself was unable to do. Both clones pushed chakra into the ground whereupon they would dig within and implant themselves. One would move forward, sensing the magnetic forces.

Yan would allow him to move to the extent in which would allow him to sense the adjacent area encompassing the billowing smoke, at which point he would disengage that particular shadow clone. Upon it dissipating, the knowledge of where she was would be revealed--she was underground. Yan would keep the other clone underneath the ground close by. She was an earth release user...Yan was too.* - Sun Nov  8 07:24:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You. - Sun Nov  8 07:26:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The girl fighting is cooler than ya. - Sun Nov  8 07:26:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Sorry. - Sun Nov  8 07:26:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, what can ya do? - Sun Nov  8 07:26:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Master. - Sun Nov  8 08:01:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Your back. - Sun Nov  8 08:01:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hi Master. - Sun Nov  8 08:01:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I've got a new master. - Sun Nov  8 08:01:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) based on the assumption that she did not decrease or increase the amount of distance in which she was, Yan would be approximately twenty-five feet away. As she dug up from the ground, and came into a stand, Yan would already be performing the singular seal in which was required to let loose another ninjutsu. He kept his abilities low-level, as he wasn't sure if she could handle anymore than that.

With that said, around the time she was pulling out the kunai and throwing it afterward, chakra would well within his mouth whereupon it would be converted into water and force itself from the containment of his mouth. A jet of water shot from his mouth, it's ability only carrying concussive damage as what would essentially be a "water gun" would project the stream in her direction.

Due to his ability in ninjutsu, the stream of water moved at approximately fifteen feet per second which meant that it would connecting her within a little under two seconds unless she moved out of the way. Additionally, it'd be likely that the girth of the stream would encompass the trajectory of the kunai and would engulf it. Lastly, due to the technique, it'd be unlikely if she was able to produce the clones that she would have otherwise.* - Sun Nov  8 08:06:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I hope this gets a little more challenging. - Sun Nov  8 08:08:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Yans improved alot.. - Sun Nov  8 08:20:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 08:22:36 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: My best friend lost. - Sun Nov  8 08:22:36 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Aww. - Sun Nov  8 08:22:36 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would shut off the technique well in advanced of her hitting the wall, and instead, she'd simply skid to a stop.* - Sun Nov  8 08:22:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Good fight. - Sun Nov  8 08:22:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. - Sun Nov  8 08:23:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Interesting. - Sun Nov  8 08:23:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Think she's okay? - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 08:24:19 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) sighs and scratches the back of his head, looking towards the other. "Well, yeah..." He said, letting off an uneasy laugh as the clone who had been planted in the ground would surface underneath Yoko.

The clone would lift her, and run off towards the hospital. "She'll be fine," he noted as he started walking towards the exit of the training field.* - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Your strong. - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Probably. - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: My master is stronger though. - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Hrm. - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who's your master? - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hey. Any uh... - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Izanami. - Sun Nov  8 08:24:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, she's definitely stronger than me. - Sun Nov  8 08:25:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You have a young..but strong master. - Sun Nov  8 08:25:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yep yep yep. - Sun Nov  8 08:25:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I remember taking her out on her first B ranked mission... - Sun Nov  8 08:25:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh...I'm pretty sure the kid in front of me is. - Sun Nov  8 08:26:01 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Nada. - Sun Nov  8 08:26:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm academy student - leveled. - Sun Nov  8 08:26:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Sun Nov  8 08:26:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Very weak. - Sun Nov  8 08:26:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... What a drag. - Sun Nov  8 08:26:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Nov  8 08:28:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Master. - Sun Nov  8 08:29:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What should we do to train? - Sun Nov  8 08:29:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not your master.. - Sun Nov  8 08:29:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I'm heading home. - Sun Nov  8 08:29:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How old are you, Mitsunara? - Sun Nov  8 08:29:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm..? Oh, ah... I'm Seventeen. - Sun Nov  8 08:30:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Maaassteeerrrr. - Sun Nov  8 08:30:17 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Are you shy because of these people? - Sun Nov  8 08:30:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm going home to smoke some pot. Want to tag along? - Sun Nov  8 08:30:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I got my life together liket hat. - Sun Nov  8 08:31:08 2015
