<br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cake anyone? - Wed Oct  7 07:51:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ............. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Now then. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Magic tricks are amazing. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I think it's about time for me to go. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: There's only one way to settle this. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: SUMO MATCH - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Training is amazing! - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Can I buy your cloak? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .... - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You want to buy my cloak? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Understood. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Passed away within Sunagakure. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: But can you pull things out of a hat? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Two ways. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: I bet not. - Thu Oct  8 23:29:16 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) fist bump because they both tanks.* - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You take off your pants and put it over your head. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Or. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You pay one million yen. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: ...Bwahahaha. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So I can go with the first option? - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Fuck, he's hilarious. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Go for it. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Your underwear included. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Alright. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Alright. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Wasn't buried. - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I couldn't recover the body. - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You gonna give me the cloak first? - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So his body is in Suna? - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: No. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Torn to shreds. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Take me there. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You gotta put your pants on your head first. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I can't. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: How do I know you'll pull through? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: They must be jealous of my magic trick. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Unless you want to die. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: By my laughter. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why would they kill me? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I think you aren't going to give it to me.. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Because they're not very friendly to outsiders at the moment. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Then that's okay. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, fuck that. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I would've. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Otherwise, I would've had the body. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: But you're too prideful. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Wait. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They'd kill a twelve year old boy that wants to retrieve his friends body? - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'll do it. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .... - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You won't. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You don't have the balls. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: They would. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Then i'll find a way in without their help. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Good luck. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't do that shit. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: You guys could just build a tunnel underground. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Haha, shit. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: A tunnel. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Underground. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Into a village. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Yes. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: With sensory-shinobi. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: This is why you move at night. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll find a way. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: At night. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Assuming everyone sleeps. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Yes. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Assuming they don't have shifts. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You're an idiot. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: You just you know. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: His body deserves to be with his own. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Or you could uh.. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Walk in casually. - Thu Oct  8 23:33:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: And die. - Thu Oct  8 23:34:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Or live. - Thu Oct  8 23:34:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You wouldn't. - Thu Oct  8 23:34:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Mm. - Thu Oct  8 23:34:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Best way to do it. - Thu Oct  8 23:35:15 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Thu Oct  8 23:35:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Is to fly up very high. - Thu Oct  8 23:35:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: And then drop down. - Thu Oct  8 23:35:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: And boom. You're in. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: ... - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Where's my cloak? - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Baen. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: You're a bit rude. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'd agree. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: But. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: The only one that's rude is you. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I tried that already. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Nearly died. - Thu Oct  8 23:36:06 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) Saw this nigga drop literal shit onto his head, he immediately raised his foot and kicked this nigga to the side. 

"Yo, what the fuck are you doing."* - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: This has nothing to do with you, Stop making silly comments. - Thu Oct  8 23:36:06 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: I'm giving ideas. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Stupid ideas. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Fuck your ideas. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Stop. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You trying to get people killed. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Nope. - Thu Oct  8 23:36:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Takeda-san! It's not youthful of you to disrespect kind misses! - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Shut up. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Before I split your tongue. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: This.. guy, is he serious?.. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: In two. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Girl. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Listen. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't be stupid. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Who do you speak of? - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I will literally slap the shit out of you. - Thu Oct  8 23:37:48 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Sorry..then. - Thu Oct  8 23:38:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Thats what I thought. - Thu Oct  8 23:38:40 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: They're salty because they haven't seen my magic trick. - Thu Oct  8 23:38:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Good, Thank you Baen. - Thu Oct  8 23:38:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Now Sabo, Tell me exactly what you did last time if you don't mind. - Thu Oct  8 23:38:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: To get into Suna? - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Psst, guy. - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Wanna see my magic trick? - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes. - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Flew overhead, got shot at. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Another instance, attempted to walk in. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Listen. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Assumed they'd let me return home. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Wanna see my magic trick? - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Didn't work out well. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sunagakure isn't shit but Fujitora and Hassan. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If they die. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You're golden. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Fujitora. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Has given up fighting. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Fuck him. - Thu Oct  8 23:40:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Fujitora and Hassan run Suna? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: What? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tetsumi is the real problem. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hassan does. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Tetsumi isn't shit. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've seen what Tetsumi does. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How strong is this Hassan? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He's not human. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I owe you. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And what about Tetsumi? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Human or not. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We all bleed red. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Now to take a shower. - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Wanna see my magic trick? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... This guy took a shit to his head.. for a new pair of threads? - Thu Oct  8 23:41:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hassan? Well, I believe he tore Suitengu's body to complete shreds. - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I know we just met, and you kinda just saved Hideki, and I but can you scrub my back? - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: And.. sure.. - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tetsumi turns into a demon. - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Similar to that woman they had for a Kazekage at one point. - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So Hassan killed a seven year old boy. - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hassan also assisted in killing that boys father. - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see. Thank you for that information Sabo. - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What do you mean demon. - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Well... - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Do you know what happened to Konohagakure? - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is gone. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I saw a beast attack it. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: That's not what I mean. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Can I eat it. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Regardless. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: No. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The beast that attacked Konohagakure. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: That was Tetsumi. - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Testsumi. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Made of iron. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: But you pulled it out for me. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Iron aint shit. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I thought it was a gift. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Tetsumi isn't shit. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I suppose. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I talked to him in Sunagakure. - Thu Oct  8 23:44:38 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: His name - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Is dinner. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Commander fluffles. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Dinner. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Fluffles. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Din - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Er. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You weird, son - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Fluff. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Les.. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Lunch. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Fluff. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Lunch. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: And - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Dinner. - Thu Oct  8 23:45:29 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Commander. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: And. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Fluffles - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Rabbit stew. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Nope. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I believe you both mean. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Shut the fuck up. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Rabbit Stefado. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Indeed. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Hmph. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Has anyone seen niza? - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I hate standing around here, everyone is an idiot. - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've returned a new man. - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I should... - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Clear some of the idiocy. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm handsome, aren't I? - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thanks. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You smell like shit. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I showe- Well, I'm sure that smell will go away, eventually. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll help you if you wish Sabo. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm feeling quite...different now. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: As my next order as the Raikage... I demand all women eighteen and up get daily prostate exams which will be observed by none other than myself. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Next. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Treason - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh nah. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: .... - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I can dream, can't I? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Keep it as a dream. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sabo you plan on attacking Sunagakure? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No, not yet at least. - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Let me know when. - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Of course. - Thu Oct  8 23:51:28 2015
