<br><font color=yellow>*Bernadotte(Iron Zorro) laughed even more "So the prude did get offendend which is kind of cute, it really brings out your features." he commented as she was pushed against the wall again. Using both of his hands he aimed to push her away "I will talk about what I want, when I want and however I want you understand me? I do not need you telling me what I can or can't do because the only one that can do that is my Lord Lucifer so I would suggest you stop barking noise and start falling into place as you are in the presense of a superior being." 

If he had successfuly manage to push her away he would move foward bringin his right arm up to grab at her neck aiming to push her against the opposite wall of where he had been pushed "Now here is how things will work from here on out. One, I will stop commenting about your graverobbing anticts while we are in public. Two, we are stuck here together so I suggest you stop being the prude you are and start being nicer to me as dictated by my lord. Three, enough of your supperiority complex as we both know that you are nothing more than simple trash compared to a superior being like me." he would lean in closer to her "Is that understood?" he asked her with a harsh tone of voice.* - Tue Sep 29 16:40:57 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) kept his right hand against her neck and was going to let go when he heard her comment that belittled his Lord. Reaching over with his left hand to unsheeth his blade he would point it at her left eye "Jashing reigns supreme? HA! Don't make me laugh, my Lord Lucifer is the one that reigns supreme above all else. Jashin is a mere peasant compared to him and do not think I do not notice the sarcasm in your voice. Either you start treating me like the superior being that I am or there will be consecuences graverobber."* - Tue Sep 29 16:59:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) released her and sheethed his blade as he was nudged away. "I would be invading more than your personal space but there is that corpse you need to loot so get going."* - Tue Sep 29 17:06:33 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow "Hmm? The prude is asking me to show her my dick. Now that is something that you do not see every day." he commented amused by the development that was happening before her. He would bring his right hand down to unhinge his right blade from his belt and attempted to thrust it into the girls stomatch. Since the blade was had not been unsheeth she was in no danger as to get stabbed by it since he was not about to kill someone he knew from his home village but he would inflict pain upon her since he had challenged him to something that his Lord encouraged.

Assuming the hit had gone off without a hitch he would being his left hand up to grab and pull her by the hair with intentions of throwing her against a bed "Be careful for what you wish for graverobber~ It might just come true." he would tease at her as he quickly followed after her to pin her down against the bed leaving the Katana he had used to hit her on the floor since at the moment his focus was on something else more important than his blade.* - Tue Sep 29 17:20:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I want to learn fire techniques. - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What do you know? - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: So far. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: To flare up my arrow, that is all. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Chakra flow? - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Indeed. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then, I suppose it's time I teach you something new. - Tue Sep 29 19:15:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: In anycase. . . We'll be seeing more of each other later. I'll beb ack. - Tue Sep 29 19:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Did you get the thing? - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Indeed. - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You can be rest asured that next time I see you your ass wil be mine. - Tue Sep 29 19:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) hated to see her go but loved to watch her leave.* - Tue Sep 29 19:31:37 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: You lack hatred... - Tue Sep 29 19:35:53 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: FUCK YOU. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Err.... can I hold onto it..? There's something ominous about it.. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I was in a wheel chair. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And coudn't do shit. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I trust you. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And your family name. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's yours. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I could... - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Use some help, yeah. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She is going to go suck his dick now. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Probably. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Is it over? - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Kitchen.. - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I need... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: To go get some treatment. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: As for his life? - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I agree with him... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A shinobi's life is a shinobi's life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I can't be a pacifistic samaritan like you, Kuro. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I don't want to pretend to be. . . . - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: All I want to do. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is protect the ones I care about. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If that means I have to take a life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then so be it. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I sympathize. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be with you later.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But he's a human just like the rest of us. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: I don't see why Mamoru was the only one fighting. That guy went down quickly. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm.. going to get...healed. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Ok. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Also..It's very easy Chiharu... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not every human is the same. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Humans can be reasoned with. That's what make us humans. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We're all unique in some way. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Our uniqueness is what makes us human. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But we all have the capacity to understand. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Don't you feel the weight of taking another person's life? - Sat Oct  3 06:29:58 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) did the same thing as Amon but took credit for everything as clearly he was the brains of the operation.* - Sat Oct  3 06:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Nigga Kuro shut the fuck up with ya long ass neck always trynna say some peaceful ass shit nigga i'ma beat ya ass you lil nigga - Sat Oct  3 06:32:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:32:32 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Uh....... - Sat Oct  3 06:33:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:34:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Super heavy... - Sat Oct  3 06:35:05 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...Well? - Sat Oct  3 06:35:05 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hold on.. - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She slurped him up yet? - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: omit - Sat Oct  3 06:39:21 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) shoves sword up Amon's ass* - Sat Oct  3 06:40:12 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: -omit- - Sat Oct  3 06:40:12 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) moved toward the door and opened it then entered the kitchen and went straight for the sink as he wanted to get a glass of water.* - Sat Oct  3 06:41:55 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) reached for a glass of water and opened the faucet of water and placced the glass under the stream of water that was pouring down.* - Sat Oct  3 06:42:46 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) finished drinking water and would exit the kitchen.* - Sat Oct  3 06:48:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I feel good as fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He feels good as fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You were useless. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You crippled fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But what if someone else tries to start problems? Do we not fi -  - Sat Oct  3 06:57:16 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) fallen angels that shit.* - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: -omit- - Sat Oct  3 06:57:16 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was headbutted by Amon and now he fallen angels that shit.* - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But what if someone else tries to start problems? If we don't fight them then they'll kill us like that man would.. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: -omit- - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then we use self defense, and restrain them. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We need to get out of  the mentality that we are weapons. It's the source of all of our problems in this world. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: By...? - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .............. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Suitengu, he's a close friend. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We've lost some of the greatest minds due to war. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Came in clutch. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . . - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The fuck is a Suitengu. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . .. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's scheming behind our backs. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I can try to help bury the body if you want. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: RESTRAIN HIM GUARDS. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll tell you later. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who's Suitengu? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you being hired by an old lady for money? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing that sort of job? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Shit. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I need money. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this guy. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's too crammed in here... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm getting claustrophobic. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should be getting home anyways... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes? - Sat Oct  3 07:02:24 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) walks up to Mamoru and places his arm around his neck in a bro like fashion "Yo~ It was very impressive how we -all- work toward yesterdays victory don't you think? I mean we -all- totally did something to contribute to it don't you think."* - Sat Oct  3 19:23:05 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: No need to be so quiet. - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You know we all helped - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I mean - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: While you were in the front lines. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We were in the beack ready to back you up. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Giving you moral support and good vibes - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yeah, yeah. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: They helped greatly as you can see since you defeated him. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: With out help. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Didn't you hear us giving you the best vibes we could offer? - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It was a great team effort. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: While the other guy was preaching of peace - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But really, you didn't do it without help. We all helped. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: All of us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We gave you support - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: All of us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Specially us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Team effort. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I mean you did kill the guy but - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But it was mostly the two of us and you. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: In reallity we were the real MVPs - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Even that one girl, I bet she jumped in because she felt the vibes. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm telling you man. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We really helped out. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 19:46:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: If it werent - Sat Oct  3 19:46:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: because of the good vibes. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She would not have arrived. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It was us really - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We were the backbone of the whole situation. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Of course, of course. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We understand your rebuttle  - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But you have to understand. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We were the ones supporting your arm as you cut that mans head off. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: With out good vibes. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: our* - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Indeed - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Good job us. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did every thing now that I think about it. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yep. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We will take credit for that victory. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: It actually wasn't that much of a team effort. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: After all. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: One guy only blowdried the mans hair. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: And the other guy just preached. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Don't worry, we won't let the burden of credit bear down on your shoulders. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I know its hard to carry. - Sat Oct  3 19:49:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: So we'll carry it for you. - Sat Oct  3 19:49:32 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yes indeed. - Sat Oct  3 19:50:24 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We are the real MVPs as I said. - Sat Oct  3 19:50:24 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Also it was a shame that our good vibes did not strengthen the blade that shattered into a million peaces - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Shame indeed - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Shame. - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: But we got a giant ass blade out of it. - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Which is excellent! - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Our good vibes is what brought you this blade. *He hefts it up onto his shoulder for emphasis.* - Sat Oct  3 19:51:15 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) still had his arm around Mamoru "Yeah indeed."
* - Sat Oct  3 19:52:57 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Really? You mean it? - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's not really my blade. - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And it isn't my problem. - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I mean, it's something Chiharu wants though. - Sat Oct  3 20:03:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I mean, I know we deserve such a prize for having such an impact in that fight. But I felt it necessary to ask you first. - Sat Oct  3 20:03:12 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) had his arm shrugged off and quickly walked over to Amon helping him carry the blade "Well thank you for your contribution to our support!"* - Sat Oct  3 20:03:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who are you two anyways, exactly? - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We're the two pals that helped you out. - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Now if you excuse us. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Uh...huh. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We need to carry this giant thing out - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Where exactly are you carrying the sword though? - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Dunno. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: To infinity and beyond - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd just leave it there if you don't have a destination. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No point in moving it. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Theres plent of stumps. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: To swing this at. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd probably not use it for that. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What else could you practice it on then? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why practice with it? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I don't think people is a good idea. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Why not? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I want to find out what kind of blade that is. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you not see this? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It doesn't look like a normal sword. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you not see how -cool- it is? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't see it as a weapon, that's for sure. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I see it more like a.... - Sat Oct  3 20:07:28 2015
