<br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Reguel(Airide) says: So another Mizukage was killed? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: How pathetic. - Sat Nov  7 04:09:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Reguel... may I help you... your rather close - Sat Nov  7 04:12:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . - Sat Nov  7 04:13:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Reguel, standby and be ready to heal anyone that needs it. That's your job. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll handle my job and be briefed in peace. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Begone. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Scram. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Reguel, I know you are concerned, but give me a moment. Please? - Sat Nov  7 04:16:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need to stay here for the moment. - Sat Nov  7 04:21:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey guys hows it going. - Sat Nov  7 04:22:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ok, later - Sat Nov  7 04:22:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Something - Sat Nov  7 04:22:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: All must be studied and taken in.. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Reguel(Airide) says: Clearly. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One missing piece is vital.. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Fuji... - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Reguel(Airide) says: And that is? - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, just hand the blade over. You are out of your jurisdiction here. - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One moment Ai... - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I never said I wasn't going to give it up. - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Now he is breaking the law for "peace"? - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Give Unto Ceaser What Is His - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sat Nov  7 04:24:57 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) wouls say, "I'm assuming the swords work in tandem of each other, and the body is being examined as well. But, we can't do a proper research without all the resources. I know you may not respect our ways, but we do what  we do protect our civillians. Fujitora acts no different in thiss belief. Will you comply?" Koji foot steadily tapped not knowing where things would lead from this point. * - Sat Nov  7 04:26:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I wonder what's going on here? - Sat Nov  7 04:30:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Iza....come over here. - Sat Nov  7 04:31:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Father! - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sat Nov  7 04:40:19 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Looks like they're talking about you, guy. - Sat Nov  7 04:41:10 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: Ah, a Christian. - Sat Nov  7 04:42:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: They're usually very amiable fellows. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: So much is happening.... - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Great more people. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I notice your earrings... are you from the Tenryuujoutei temple - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I am from the Tenryuujoutei Temple.  - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Tenryuuwhootie? - Sat Nov  7 04:44:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh thats great a fellow monk, im Bryson Lyan - Sat Nov  7 04:44:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pardon me, Izanami. - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im the cleric priest of Suna - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The Tenryuujoutei my child - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It is a pleasure to meet you, Bryson Lyan. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: My name is Yukio. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Don't mind me---I am merely passing through. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see did you get my letter? - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I informed all avalible priest for a metting in Sna but I recieved no responce - Sat Nov  7 04:48:00 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I have not received your letter, unfortunately. - Sat Nov  7 04:48:51 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: But I do believe my schedule is free for a meeting. - Sat Nov  7 04:49:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Execellent, do you know any more priest? - Sat Nov  7 04:51:24 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) doesn't like to make things as hard as they seemed, but stress has been building in Suna sense yesterday, and a criminal would had tried to escape today one can could understand  the situation he's in. Koji would  take the blade, and look Kuro in the eyes 
"I'll make sure you see the sword again. I know how much life means to you."* - Sat Nov  7 04:51:24 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Of course, Kuro. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: As for your qu--- - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: I don't even know what's going on. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ........... - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I do not know any more priests---besides my peers at Tenryuujoutei.  - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: f-flirted.. - Sat Nov  7 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Like wise, well come with me when you are ready - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Certainly. - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Father has friends...who aren't women... - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ---Ah.... - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm sorry I do not remember you. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It's been quite some time. . . . - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tis a shame...Time affects us greatly. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man. - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Some old guy is trying to flex on father! - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Sat Nov  7 04:59:05 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would hand over the blade to Fuji, and say, "If they're able to survive the research try and do your best to see that Kuro gets something as a reminder." 
With that business was solved and peacefuy too! This made Koji smile in the inside greatly.* - Sat Nov  7 04:59:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..come. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, if you want come as well. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: There was an incident yesterday,  and the officials are cleaning up loose ends for everyone to be safe. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam..follow me. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: NCIS Suna - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Meet me in the office everyone...right now. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: *Wtf. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Aoi(ByeFelicia) whispers: Oh no....That's horrible....Is everyone safe now? - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I hope he deals with this properly.  - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: I hope so.. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Mmmmm. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Anywho.... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I suppose I should go get some food... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm quite famished. . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mind if I come with you? - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will accompany you - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We can talk there if you like - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Zephira(Demon4626) says: I know full well what my decisions are. - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Zephira(Demon4626) says: Just go train or something please. - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Zephira(Demon4626) says: I'm trying to work here. - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Everyone else leave.. - Sat Nov  7 05:05:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why were we called in here? - Sat Nov  7 05:05:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: An investigation is taking place. - Sat Nov  7 05:05:04 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) enters he been busy today with all sorts of issues. He wanna treat from his master and lord..* - Sat Nov  7 05:07:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: So lets hear it. - Sat Nov  7 05:08:28 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) takes his seat and though young in age he would sigh as he did the motion. Once comfortable Koji would speak, "Lord Hassan, I've been informed by Kuro that Ai wishes to have the head of Trilliam. For the accident that took place yesterday. As you know Ketsuki was caught in the explosio yesterday during the battle against ol Fuckboy Snake-eyes.." As Koji spoke the names he would take a glance at both the young shinobis. He had cared for both of them and didn't wih to see nmore bloodshed. * - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Story...Now. - Sat Nov  7 05:17:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: If anything its fuji's fault. - Sat Nov  7 05:17:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I didn't ask for who's to blame. - Sat Nov  7 05:19:34 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I asked for the story. - Sat Nov  7 05:19:34 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) retells the story so that all facts are on the table he would read from the documented report from Desert Owl... This would be a more proffesional report as it was gathered from multiple people at he time. 

"The events would follow on "yesterdays date" a man snook by the defense of Sunagakure and made his way into the Kage's building. There he was apprehended by Izutora, Ketsuki, Jiki, and Fujitora. During that time Fujitora directed us with a plan, and apart of that plan was Trilliams spiders. They dispered rapidly in the room, but the battle would lead all parties to the hall way. Including the spiders. Where the efforts of Tondou,Trilliam, Fujitora, Kuro, Ketsuki, and Koji would stop the assailant. During the altercation Trilliam out of fear would sink into the floor even beyond my sight, but at the moment of the man's capture, and debate over his execution. The spiders would ignite and explode. Sadly there were two on Ketsuki's arms...(there is detailed information about her dying, but it's left un -said), Koji owuld be protected by Fujitora's effort, and the intruder would would be saved by the effort of Kuro. A bref skirmish between Fuji, Jiki versus Kuro would breakout, but in the end Fuji and Jiki would combo the intruder in a nice Sungakure execution style ceremony."

These are the events as recorded. * - Sat Nov  7 05:34:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I see.. - Sat Nov  7 05:36:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: .... - Sat Nov  7 05:37:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: So that's how it went... - Sat Nov  7 05:37:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: So the spiders on her arms exploded...Correct? That was enough to kill her, no? - Sat Nov  7 05:40:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Trilliams not helping his case... - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You're making me want to hit you. - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sorry.. - Sat Nov  7 05:44:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So Ai. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What are your intentions? - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do want to mention that Trilliam said he would be willing to do his time in jail. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Right. - Sat Nov  7 05:52:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I'm sorry for both of them... - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Locked up, they won't let me out.... they wont let me out... -omit- - Sat Nov  7 05:59:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be taking my leave, sir. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam, I will come visit you. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Pay your respect to the grave of Ketsuki Trilliam before you go. - Sat Nov  7 06:07:21 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Good enough...I'll need pills...Alot of them.. - Sat Nov  7 06:08:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: You're a good boy. You just made amistake learn form it. - Sat Nov  7 06:08:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: This is all fujis fault. - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm heading home...I'll scan the village later.. - Sat Nov  7 06:09:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Would you like a moment alone with Trilliam, Hassan? - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: If so, I can take my leave Lord. - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: When I see fuji im a tear him a new asshole. - Sat Nov  7 06:11:37 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would assume this is family time and dips as well.* - Sat Nov  7 06:15:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Farewell. - Sat Nov  7 06:16:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tetsumi, coming along home? - Sat Nov  7 06:17:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Not who but what. - Sat Nov  7 06:52:35 2015
<br><br><font color=teal>*[Mashed Potatoes](Osmanesanogo) says: Ey everieyone. - Sat Nov  7 06:54:17 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo. - Sat Nov  7 06:54:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems like a plan-- Koji. - Sat Nov  7 06:55:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You wanna give a quick scan of four carts? - Sat Nov  7 06:55:08 2015
<br><br><font color=teal>*[Mashed Potatoes](Osmanesanogo) says: Deleleleelle. - Sat Nov  7 06:56:00 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) activates his byakugan and scans the four carts. All that was in there would be visible without fail.* - Sat Nov  7 06:56:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No - Sat Nov  7 06:57:42 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would say, "It's not safe as he wasn't told anything oocly about the luggage." Koji would then take a caravan to Konoha with Yan to complete the capture mission.* - Sat Nov  7 07:01:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: It's safe Sanolke - Sat Nov  7 07:02:49 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Aye. I will return in a fortnight to parlay with your kage. - Sat Nov  7 07:04:32 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) setting himself off the caravan would say, "Yup, lets get to it." Koj began use his ability to seek out the rogue.* - Sat Nov  7 07:10:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nothing here. - Sat Nov  7 07:10:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sense anything? - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Not here. Lets keep moving. - Sat Nov  7 07:12:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nothing. - Sat Nov  7 07:12:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nothing here either, Yan. - Sat Nov  7 07:13:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Not even inside? - Sat Nov  7 07:13:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Might you be looking for something? - Sat Nov  7 07:13:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov  7 07:14:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We had a recent shinobi go rogue, and she's been noted to be hiding here in Konoha. - Sat Nov  7 07:14:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: She goes by the name Mizora. - Sat Nov  7 07:15:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A few actually...Have you heard the name Katsune or Mizora? - Sat Nov  7 07:15:37 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Neither. - Sat Nov  7 07:15:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone inside of note? - Sat Nov  7 07:15:37 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: No one is within the mansion. - Sat Nov  7 07:16:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: One of the women we are looking for is probably concealing her eyes. - Sat Nov  7 07:17:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They would be milkey white otherwise. - Sat Nov  7 07:17:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're looking for a blind person? There're plenty of blind people within this village. - Sat Nov  7 07:17:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Perhaps one acting as though they are blind. - Sat Nov  7 07:18:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm confident no one is shrewd enough to do that. - Sat Nov  7 07:18:11 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov  7 07:19:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Are you two mercenaries..? - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yan, you shouldn't be acting so rudely. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We're guest here. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You're right. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No, we aren't mercenaries but Kazekage doesn't like runaways as they can leak valuable nformation. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Guests? - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Is she attempting to block my way? I guess I'll stand down. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You were invited here? - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you hear of these rogues, we'd appreciate communication on them. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I've yet to hear anything about Sunagakure while here. I assure you that these rogues most likely have no intentions of spreading information you desire. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It doesn't matter. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Communication? I assume that's code for "kill", since the Kzaekage himself sent two high-ranking shinobi. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If they are here, they are coming back with us. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: That much is true. However, one is a mass murderer. The other showed disregard for our laws. - Sat Nov  7 07:23:18 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Then imprison the mass murderer and let the law disregarder do what they desire, as long as it isn't critically ill to the code of your village. - Sat Nov  7 07:23:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Shouldn't you be letting Konoha shinobi look for these rogues..? - Sat Nov  7 07:23:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We're attempting to prevent more casualties, but we do have a system we don't kill anyone like they're savage dogs. - Sat Nov  7 07:24:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rather than just barging into our village and searching our houses..? - Sat Nov  7 07:24:09 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: What you're saying isn't adding up with your actions. - Sat Nov  7 07:24:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think you are creating things in your mind. - Sat Nov  7 07:24:09 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Two high-ranking shinobi, sent to pursuit and bring back a mass murderer and a rule breaker. - Sat Nov  7 07:25:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I personally never said we are killing anyone. - Sat Nov  7 07:25:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If we do, it's nothing we are running by any ninja that's not part of our village though. Koji, let's go. - Sat Nov  7 07:25:00 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Inform the kunoichi themselves that you aren't out for their heads, and perhaps they'll think twice about avoiding personnel. - Sat Nov  7 07:25:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: When we find them, we most certainly will. - Sat Nov  7 07:26:43 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: There're other ways of communication. I suspect you'll tie them up, torture them abit.. and say you won't kill them. - Sat Nov  7 07:26:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sat Nov  7 07:27:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Perhaps that's my mind at work making me assume such, or it's the guilty truth. - Sat Nov  7 07:27:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: This girl is making up things in her head...she must be mentally ill. - Sat Nov  7 07:27:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: I saw my own village get destroyed, of course I'm mentally out of the loop. - Sat Nov  7 07:27:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: -omit- - Sat Nov  7 07:27:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're honest on your statement of not killing them, correct? Pass that message onto the Hokage himself. Perhaps he knows whether or not they've sheltered themselves in the village. - Sat Nov  7 07:30:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Is he available? - Sat Nov  7 07:31:50 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would have had his Byakugan active the time of their conversation, and would uncharacteristicly peer through the building without permission, because the responses given were as if they're harboring the individuals. Koji was offended how they saw them as this was against his nature to torture anyone, or kill them without proper wisdom. 

It would be odd that anyone would harbor a mass murderer of the innocent, and a potential psychotic woman on the lose sealing people tenketsu at random. Truly odd indeed. * - Sat Nov  7 07:31:50 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: No. - Sat Nov  7 07:31:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: These guys sound fishy to me. - Sat Nov  7 07:32:41 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We have our own security for this kind of thing. - Sat Nov  7 07:32:41 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Why should they act like our police? - Sat Nov  7 07:32:41 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would let Yan know that their word checks out, and he would apologize to the woman for his rudeness. 

