<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *waves at Nami* - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Trill. - Wed Dec  2 06:57:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Shhhhh. - Wed Dec  2 06:57:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on don't ruin this for me. - Wed Dec  2 06:58:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I promise I will teach you how to walk on walls. - Wed Dec  2 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Are you guys going to do what Questionnaire De La Runit called porn If soo ewww Im like gone. - Wed Dec  2 06:58:59 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) cut her eyes towards Trilliam, and began walking towards him slowly and with a serious demeaner. "You took the joke too far. Show some respect, Trilliam."* - Wed Dec  2 06:58:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wow. . . He went there. - Wed Dec  2 06:59:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 07:00:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wow. . .Those things are awesome. - Wed Dec  2 07:01:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ...... - Wed Dec  2 07:01:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Anyway! - Wed Dec  2 07:01:32 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) reached down and grabbed a rock, pulling it up and then slinging it off towards Trilliam's head.* - Wed Dec  2 07:02:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Get back over here Trill! - Wed Dec  2 07:04:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What im here. - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're staying here. - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Go and learn how to walk on the wall. - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait whaaa? - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: She just told him to bother me? - Wed Dec  2 07:06:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You need to learn it too Nami. - Wed Dec  2 07:06:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I want to drink my Sake. - Wed Dec  2 07:06:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Drink it after. - Wed Dec  2 07:06:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Psh, you need to teach Trilliam. - Wed Dec  2 07:07:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Psh, you need to learn too. - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey uh guys. - Wed Dec  2 07:09:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What you need buddy? - Wed Dec  2 07:09:13 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah? - Wed Dec  2 07:09:13 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You do know I have to like actaully do stuff. - Wed Dec  2 07:09:13 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You'll be okay. Come and learn. - Wed Dec  2 07:10:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like my time to learn and train is limited Tor-tata could send me to go do something crazy at any minute. - Wed Dec  2 07:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup you and Nami come on over here. - Wed Dec  2 07:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All right then this is pretty simple. - Wed Dec  2 07:10:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: and then i cried, i cried a lot - Wed Dec  2 07:22:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup Koji. - Wed Dec  2 07:25:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sup Hiroshi, How are things with ya? - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Been good man, been good. - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How about yourself? - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Weren't you the person watching us in the exams? - Wed Dec  2 07:27:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmm, surviving haaha. Hmm? Yes I am. - Wed Dec  2 07:27:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, nice to finally meet you. - Wed Dec  2 07:27:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Same you guys did exceptionally well in my opinion. Izanami had been to the Desert of Death before so I knew you all would do well. - Wed Dec  2 07:28:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Haha. - Wed Dec  2 07:28:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I did terrible. - Wed Dec  2 07:29:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure is Trill! - Wed Dec  2 07:29:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Congrats. - Wed Dec  2 07:29:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Thx... - Wed Dec  2 07:31:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Koji, how did you become a Chuunin? - Wed Dec  2 07:33:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I think he is a chuunin. - Wed Dec  2 07:33:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The late Hassan had a test when he first became Kage. I passed haha - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice. - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What was it like? - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Wasn't as difficult as it is now owever. - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really? - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yeah, only had to perform a few moves. - Wed Dec  2 07:34:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  He I know them too. - Wed Dec  2 07:35:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Tai justu huh. - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh my. - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What was that first one you used? Seems like Great Whirlwind, but weaker. - Wed Dec  2 07:36:32 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115)  * - Wed Dec  2 07:37:23 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) kngslhrsh (testing)* - Wed Dec  2 07:38:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiro, teach me the regular whirlwind jutsu. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Pleeeeease. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ah yes, I was taught by Fujitora. Would you like to learn it? You seem to have a handle on it. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wow. . .She said please. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, well Hiro can teach me. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You even said please. *laughs* - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And I can teach you guys the Great one. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: That would be great, my basic tai could be built upon. - Wed Dec  2 07:40:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam how does it feel to be out again haha. You didn't stay all too long. - Wed Dec  2 07:41:39 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its cool. - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Some times it get a little dull. - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Becuase you knwo crayz stuff always happend in jail. - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: But eh at least not as many people watching me. - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sorta miss spending time with Kojas though. - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ahh, just pay him a visit. Have you met Tsuki? - Wed Dec  2 07:44:12 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Who??? - Wed Dec  2 07:44:12 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And Man I dont like going there reminds me to much of old. - Wed Dec  2 07:45:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Thats why I cut my hair. - Wed Dec  2 07:45:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: My little sister, Tsuki. - Wed Dec  2 07:45:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait a minute Koji. - Wed Dec  2 07:45:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That adorable little doctor is your sister? - Wed Dec  2 07:45:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmhm she is. - Wed Dec  2 07:46:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Wow I didn't know that. - Wed Dec  2 07:47:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: O yea I have another question for you. - Wed Dec  2 07:47:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What was Mitsu talking about when she said your "special eyes"? - Wed Dec  2 07:47:37 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm? My eyes? They just see a little bit better than some 20/20 vision. - Wed Dec  2 07:51:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Are they better then mine? - Wed Dec  2 07:51:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: They are super better. - Wed Dec  2 07:53:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really? - Wed Dec  2 07:53:36 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) looked at the way that the jutsu was taking place. Kinami was already used to spinning and kicking and all of that. So, taking a step forward powerfully, Kinami would throw a wide kick upwards, before dropping down and sweeping the ground as well, close to where someone's ankle would be. She imagined someone falling to the ground on their side, which was quite excellent.* - Wed Dec  2 07:53:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I knew you would get it fast. - Wed Dec  2 07:53:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Haha, thanks. - Wed Dec  2 07:54:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Green! - Wed Dec  2 07:55:18 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hey, Blue~ - Wed Dec  2 07:55:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Wait, what? - Wed Dec  2 07:55:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come here man, give your big bro a five.  *raises hand* - Wed Dec  2 07:55:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: O yea, Nami, meet Hiroshi. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sup Jumpman. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Wait, what? - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Kinami his name is Jumpman. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: No - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: No may bad. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No it is Green Hiro. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Green Ranger. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hi hi Trill... and no I'm Green Hiro~ - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Or GR for short. - Wed Dec  2 07:56:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: His name is Green Ranger, only Hiroshi around here is my boyfriend. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh yeah or GR.. I like that one too - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Wait whaaa - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *smiles* I can live with that. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Seee. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry Green. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: The lady has spoken. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its offical the Hassan tribe is law. - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Blue when did you get a girl? - Wed Dec  2 07:57:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Before I met you bro. - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Booo~ - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's bad? - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yes! - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why? - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: HiroxHiro! - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Girl are-- ew! - Wed Dec  2 07:57:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's gross - Wed Dec  2 07:58:43 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I knew it, - Wed Dec  2 07:58:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Woah. - Wed Dec  2 07:58:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Green. . . .  - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh yeah? - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm keeping my cake then! - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: She has cake? - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have cake? - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Wait there's cake? - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And I'm not sharing! - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Where is this cake. - Wed Dec  2 08:00:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait whaaa? - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You Shall share the cake. - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But I am your boyfriend. - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Im your cousin. - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm a random kid? - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nope! - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Green ruined it all! - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: He was mean to me! - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit Green. - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Apologize to her. - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: NOW! - Wed Dec  2 08:01:16 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Koji. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo? - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do me a favor. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Grr~... Sorry~ Blue's girlfriend~ - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Find her cake. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Please. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: What's up? - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Be nice about about it. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: But I don't know her name. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Use your awseom shit to track down Kinnaimis cake. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It's not on me, so he can't find it. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmph. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: She wont share. - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit it all. - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiro stop cursing! - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: He name is Nami Green. - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ha if you talking about that cake at home that said do not eat on it I ate that with iza. - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I just want some cake Nami. - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, Trill. I've been with you for how many years? - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You think I'd be that dumb about it? - Wed Dec  2 08:02:59 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Eh worth a shot... - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Koji. - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Scan the village for cake buddy. - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Come on. - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I should get little Tsuki some cake. - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Can't you just get cake at that Ant place? - Wed Dec  2 08:03:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Green apologize nicely. - Wed Dec  2 08:04:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then she might share. - Wed Dec  2 08:04:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nope, all mmine!~ - Wed Dec  2 08:04:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was actually pretty beliveable. - Wed Dec  2 08:05:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Now we just have to hope she changes her mind. - Wed Dec  2 08:05:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nope nope, all mine now. I'll buy a cake to share. - Wed Dec  2 08:05:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: I will try to work my magic bro.  If it works I will give you a piece. - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But I can't, because Trill ate the sharing cake. - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So you'll have to beat him up. - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam what kind of cake you thinTsuki likes? - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Trill vz Blue! TRill vs Blue! - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But what's mine is yours and what's yours is mine sweetheart.~ - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Let's hope for the best here. . . . - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm choclate. - Wed Dec  2 08:06:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then I guess he ate your cake too. - Wed Dec  2 08:07:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Everyone loves chocolate. - Wed Dec  2 08:07:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But what about the other one? - Wed Dec  2 08:07:15 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, I'll bake one for herf then. Try and put her face on it. - Wed Dec  2 08:07:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: The other one is mine. - Wed Dec  2 08:08:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Dam- I mean darnit Trill. - Wed Dec  2 08:08:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey we got hungery. - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Whew  That was close. .  - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Told you We broke. - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Cake was lunch. - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nah you full on my cake. - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: In my fridge in my house so my cake. - Wed Dec  2 08:08:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If she said it was mine it was mine. - Wed Dec  2 08:09:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nah fuji gave me 1million pieces of rice. - Wed Dec  2 08:09:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: For that one solid. - Wed Dec  2 08:09:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait.  - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Fuji.. - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's rewind. - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Owes me Millions. - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You can bake Koji? - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I kilt that Imortal Woman. - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I feel like training. - Wed Dec  2 08:10:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then train girl. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I need a training partner. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohh snap - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Or coach. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Darn it, - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: To keep my motivated. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmmm. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nooo but 'll learn for Tsuki. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can do both. - Wed Dec  2 08:11:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro! - Wed Dec  2 08:11:31 2015
