<br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That can come in handy later on. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: . . .well I have one jutsu. . . - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You have done your missions for today. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You can teach the female here some jutsus. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Or train. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Or both. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yeah. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Guess I can do both. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh my. Does that work with kunai and everything else? - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Yes. . .it can. - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Sat Oct 10 00:17:29 2015
<br><br><font color=yellow>*Nina(Ninasky115) looks down at the d-rank scrolls that she held in her hand, before looking up at the kage. "How about one just a bit harder? Hehe.~" She was clearly game for a challange.* - Sat Oct 10 00:20:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Denied. - Sat Oct 10 00:20:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine. - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: All in due time. - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When can I get tested to become a shinobi? - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: You shall have that done. . . - Sat Oct 10 00:23:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ////// - Sat Oct 10 00:28:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....* - Sat Oct 10 00:28:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, uhhh.....Yoshiko? - Sat Oct 10 00:31:08 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Hmm? - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Do you want to start training now? - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I wanted to ask for scrolls from Elon. . .so I may train as I was and coach you. . . - Sat Oct 10 00:34:33 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Impressive. - Sat Oct 10 00:35:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, I apologize. - Sat Oct 10 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What do you need a scroll for? - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Anything really. . . - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Is that all you have? - Sat Oct 10 00:37:58 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: It's all I feel comfortable teachin' right now. - Sat Oct 10 00:37:58 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'm no master in this element. - Sat Oct 10 00:38:49 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Sorry. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Don't worry though. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I'll take whatever you have. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Give me a couple of days. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: But if you're still uncomfortable. .  - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Nah, I'll feel a lot better teachin' ya jutsu I've mastered. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Just give it a couple of days. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Let's go then. . . - Sat Oct 10 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alrighty. - Sat Oct 10 00:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I see.. - Sat Oct 10 00:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm willing to learn nonelementals as well. - Sat Oct 10 00:43:56 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Ay. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'm all elements my man. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: But Doton? - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: That's my child. - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: What jutsus do you all know. . . - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I know wind bullets, shunshin, and suimen. - Sat Oct 10 00:46:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: In what category? - Sat Oct 10 00:47:21 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Anything. . . - Sat Oct 10 00:47:21 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Everything. . . - Sat Oct 10 00:48:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't know the Suimen technique - the Mizukage said I'd need to learn it to become a shinobi. - Sat Oct 10 00:48:12 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Nina, do you think you can teach Heiwa the jutsu? - Sat Oct 10 00:50:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe in a bit? - Sat Oct 10 00:50:46 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Please, Nina. . . - Sat Oct 10 00:55:53 2015
<br><br><font color=yellow>*Nina(Ninasky115) apparently got ignored when she said in just a bit, turning over towards Heiwa as she looked down. "Focus your chakra into the bottom of your soles. Then, just take a step onto the water and you should be balanced. Make sure it's even though." With a nod, she'd turn her head back over to the water. Pushing the chakra back into her feet, she'd take a step over the water, walking casually over the body of liquid easily before turning back towards him. "See, easy."* - Sat Oct 10 01:03:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Good. Our turn now, right? - Sat Oct 10 01:38:33 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Yes it is. . . - Sat Oct 10 01:40:16 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: But for you to learn that. . .you must use a scroll. - Sat Oct 10 01:41:07 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: An exchange sounds fair, no? - Sat Oct 10 01:41:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Wait, so you made me teach Heiwa AND I have to use a scroll? - Sat Oct 10 01:41:58 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: It's something I can't help I'll be here to help you along the way. . . - Sat Oct 10 01:42:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....... - Sat Oct 10 01:43:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine. - Sat Oct 10 01:43:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Same deal goes for you then. - Sat Oct 10 01:44:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So..... - Sat Oct 10 02:00:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Thanks. - Sat Oct 10 02:32:19 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: You're welcome. . . - Sat Oct 10 02:35:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, hey.. - Sat Oct 10 05:05:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Is this the kid? - Sat Oct 10 05:05:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hi... - Sat Oct 10 05:05:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How are you?~ - Sat Oct 10 05:05:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... im good... what is your name little girl? - Sat Oct 10 05:05:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm Nina. - Sat Oct 10 05:06:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's your name? - Sat Oct 10 05:06:46 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: This is the girl. - Sat Oct 10 05:06:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm the girl...? - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Did you complete your missions Nina? - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, not yet. I kind of passed out. - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Violet De La Cruze... but you can call me Violet or Vi if its easier for you... - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh this is her? - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What am I? - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are a new arrival Nina. - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh... - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Did you learn anything today Nina? - Sat Oct 10 05:09:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, I have two scrolls to learn from. - Sat Oct 10 05:10:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But as of yet, not really. - Sat Oct 10 05:10:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Did the female give you those scrolls? - Sat Oct 10 05:10:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. - Sat Oct 10 05:10:11 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Welcome to Kirigakure... we will rebuild it to make it better - Sat Oct 10 05:11:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Thank you very much.~ - Sat Oct 10 05:11:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What is she proficent in Kirie? - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Unknown. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: She knows Fuuton. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And she is nine. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I am profecient in fuuton ninjutsu at the moment. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That is all about I know about her. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And I can hold my own in taijutsu. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: For now, anyway. - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you'd like, we could spar and I'll show you...? - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So you wan to be well rounded? - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm.~ - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Is it alright kirie...? - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am well rounded Violet. - Sat Oct 10 05:15:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I do not excell at anything. - Sat Oct 10 05:15:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But I am not bad at anything. - Sat Oct 10 05:15:18 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh, well you have a perfect role model Nina - Sat Oct 10 05:16:09 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: She should strive to be what she wants. - Sat Oct 10 05:16:09 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Make her own model to follow. - Sat Oct 10 05:17:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That is what I did. - Sat Oct 10 05:17:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to be overall, exactly how you described yourself. - Sat Oct 10 05:17:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And I would like to think I turned out just fine. - Sat Oct 10 05:17:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I am merely a kenjutsu specialist; I dont wish to be any more or less - Sat Oct 10 05:17:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. That sounds pretty interesting to learn one day. - Sat Oct 10 05:17:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But you said you wanted to spar right? - Sat Oct 10 05:18:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To show my skills, yes. Better you to understand what I know as of right now, right? - Sat Oct 10 05:18:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats understandable... Kirie where is the cleanest area? - Sat Oct 10 05:20:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are looking at it. - Sat Oct 10 05:21:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well, shall we get started Nina... - Sat Oct 10 05:21:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm.~ - Sat Oct 10 05:22:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Go easy on her. - Sat Oct 10 05:22:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: She just arrived here. - Sat Oct 10 05:22:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I will - Sat Oct 10 05:22:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: You can have the first move - Sat Oct 10 05:27:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nah, I'd rather you have it.~ - Sat Oct 10 05:28:06 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: If you insist - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Go easy Vioelt. - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am watching you. - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Unless he attack 2 weeks from now - Sat Oct 10 05:44:19 2015
<br><br><font color=yellow>*Nina(Ninasky115) pulled her fists up quickly, similar to how Annie fought. Moving forward with what seemed like calculated steps, she'd take a quick step forward as the girl ran forward with her blade out. She had to be careful in this match, making sure to calculate everything that she did, while still staying on her toes since she had high-ranking people watching her. 

As the blade was swung, she'd take a step forward and duck down, hopefully moving quickly enough for the blade to move just over her head. And if that were successful, she'd throw forward her hands quickly and with power behind them. She aimed to hit the girl in her hips twice before quickly sliding back, preparing for another attack that would come at her.* - Sat Oct 10 05:45:10 2015
<br><br><font color=yellow>*Nina(Ninasky115) felt the attack missing, her eyes trained on the girl as she seemingly danced around her. Moving forward as she continued forward with her momentum, she'd jump forward and jump as quickly as she could, her head moving forward before the rest of her body. As she was upside down, she'd train her eyes on Violet once more, presumably when the strike was happening.

If she was out of range of the strike, which she hopefully was, she'd pull her hands up and begin doing a quick series of handseals, she'd aim her head towards Violets' knees and her right wrist. Of course there was still a chance that she'd miss her intended targets, she just aimed to shoot her blunt bullets with enough force to effect her movement and her attacking arm. Though, this still left her stranded in the air and easily able to be hit.* - Sat Oct 10 06:04:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) quickly rotated her body and allowed her feet to skid against the ground. Pulling her head up, she'd push the handseals together once again, her eyes focusing on the good leg and releasing a barrage of them, aiming to at least her her twice in the knee, but she fired a total of five all together. Whether this had hit or not wouldn't be of her concern much.

Standing back up, she'd pull her boxing stance back up once again, her eyes trained on Violet. Hopefully this crippling would've turned the tide of battle, but of course she could still get serious with her kenjutsu and end the fight, which really wasn't a fight at all. Nina was simply trying to show her strategy of fighting when she absolutely had to.* - Sat Oct 10 06:28:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yo. - Sat Oct 10 16:37:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi.~ - Sat Oct 10 16:37:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How did yesterdays spar go? - Sat Oct 10 16:37:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It went well. - Sat Oct 10 16:38:49 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Who won? - Sat Oct 10 16:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We just called it even after she saw what I could do. - Sat Oct 10 16:40:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Sat Oct 10 16:42:14 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Did you accomplish your missions? - Sat Oct 10 16:42:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I was about to do those right now. - Sat Oct 10 16:43:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But also, do you have any shuriken or kunai? - Sat Oct 10 16:43:05 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am afraid I do not use many. - Sat Oct 10 16:43:05 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I might have one possibly - Sat Oct 10 16:43:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I only need one for my training, I - Sat Oct 10 16:43:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'd appreciate it* - Sat Oct 10 16:43:56 2015
<br><br><font color=yellow>*Nina(Ninasky115) moved forward and grabbed the three kunai by the handles, moving forward to hug her around the waist. "Thank you.~" After saying that, she'd spin around and start walking off, going to finish those missions and then her training.* - Sat Oct 10 16:47:21 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No problem. - Sat Oct 10 16:48:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, miss kage. - Sat Oct 10 16:52:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What is it Nina? - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: This house that I build, can I stay in it? - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yeah. - Sat Oct 10 16:54:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Of course it would just be a barebones house. - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Since the water system and gas lines are fucked. - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It's better than nothing.~~ - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yeah. - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Be careful now. - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yes ma'am. - Sat Oct 10 16:55:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Go along now. - Sat Oct 10 16:56:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I want to stay with you a little longer. - Sat Oct 10 16:56:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Very well. - Sat Oct 10 16:57:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm sorry, I don't have a lot of family. - Sat Oct 10 16:57:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Don't worry neither do I. - Sat Oct 10 17:01:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, if I may ask. - Sat Oct 10 17:06:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What jutsu do you know? - Sat Oct 10 17:06:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Suiton and Katon mostly. - Sat Oct 10 17:06:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Really? No non-elemental jutsu? - Sat Oct 10 17:06:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A few. - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Some Fuuinjutsu and genjutsu as well. - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Really now? - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yeah. - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I told you I am an all rounder. - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You really are a good role model. Haha. - Sat Oct 10 17:08:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I would not think so. - Sat Oct 10 17:08:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Most of the times I am selfish. - Sat Oct 10 17:08:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But I guess being in this position is going to make me change that. - Sat Oct 10 17:08:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, I really hope it does.~ - Sat Oct 10 17:09:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What jutsus did you learn from the female? - Sat Oct 10 17:09:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm, she has this one chakra flow jutsu that seems to be helpful. - Sat Oct 10 17:10:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Anything can be helpfull if you know how to use it properly. - Sat Oct 10 17:10:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Indeed. - Sat Oct 10 17:11:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What village are you originally from? - Sat Oct 10 17:12:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Kumogakure. - Sat Oct 10 17:12:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Kumo huh? - Sat Oct 10 17:12:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I heard that it was destroyed. - Sat Oct 10 17:12:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Pretty much. - Sat Oct 10 17:12:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Pretty much, yeah. - Sat Oct 10 17:21:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That must have been been a good experience to go through. - Sat Oct 10 17:22:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't really remember much of it. - Sat Oct 10 17:23:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Sat Oct 10 17:23:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Well then. - Sat Oct 10 17:23:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I hope that when the village is repeaired we will be able to live in relative peace. - Sat Oct 10 17:24:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe.~ - Sat Oct 10 17:24:03 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: For now just take it easy. - Sat Oct 10 17:27:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are still a kid after all - Sat Oct 10 17:27:28 2015
<br><br><font color=yellow>*Nina(Ninasky115) ran off for a while, and came back with an orange hardhat on. "I'm done with the house.~"* - Sat Oct 10 17:31:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Thank you. Hehe. - Sat Oct 10 17:35:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No problem - Sat Oct 10 17:35:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Thank you again.~ - Sat Oct 10 17:36:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No problem NIna. - Sat Oct 10 17:38:33 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Have you done your other missions? - Sat Oct 10 17:38:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nuh uh, I'm going to go and get them. - Sat Oct 10 17:38:33 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Get to them then Nina. - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It helps out the village. - Sat Oct 10 17:40:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) came back with dirt all over her clothes and hands. "Done another one.~"* - Sat Oct 10 17:47:05 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: One more Nina - Sat Oct 10 17:48:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) smiled at the Mizukage as she looked at the tall woman, turning her head and walking off with a sturdy stomp, as if she were one of the seven drawfs going off to the mines for work. She had her trusty orange hard hat and her shovel over her shoulder, like she was an actual construction worker. The nine year old looked cute in the outfit, or she thought so herself anyway.

As she looked at the giant mound of dirt that she had to fill a hole with, she felt a bit surprised. The dirt was almost taller than her, and she had to fill an entire hole with the mound. She'd sigh and stab the tip of the shovel into the large mound, pushing it as far in as she possibly could so that she could get a lot of the dirt at once. Pulling it back, she'd drop the dirt into the hole, and that'd begin the beginning of the cycle.

Moving back and forth, she'd stab into the dirt and move it into the hole, stab the dirt, into the hole. She did this repeatedly, getting more and more dirt into the hole. It was pretty boring, but she didn't know how to make it anymore fun. So, she'd just sit there, throwing the dirt back and forth. Some fell directly in the middle of the hole, and some fell against some of the walls on the outside.

After the hole was all filled up, nice and pretty, she'd pat it down with her shovel, nodding at her work. Moving back to a field, she'd grab some flowers and grass and everything. She'd try to make the dirt look as pretty as it possibly could before marching off. Looking towards the Mizukage, she'd look at her and smile, putting a thumb up towards her. "Construction worker Nina reporting for duty!~"* - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alrighty, I'll get right to it.~ - Sat Oct 10 18:10:59 2015
<br><br><font color=yellow>*Nina(Ninasky115) spins around and begins walking off towards the waterfall.* - Sat Oct 10 18:10:59 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked down at the scroll, reading what it said of course. Nodding as she read it, she'd run her finger over the words just to check and see, making sure that she hadn't missed a single word or anything like that. Turning her head to the water, she'd sigh and stand up, wondering if she could successfully learn it.* - Sat Oct 10 18:20:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Looks like everyone is here. - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: This is everyone? - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What do you mean... is this it? - Sun Oct 11 01:23:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you spoke to Lera? - Sun Oct 11 01:24:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: She wont be coming. - Sun Oct 11 01:27:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... I see... Well may I have permission to go to Sunagakure... I have some business there later - Sun Oct 11 01:27:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are free to do as you please Violet. - Sun Oct 11 01:28:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I doubt Hassan will let you in but you can go. - Sun Oct 11 01:28:44 2015
